date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,14.64,2020-01-09,18:00:00,15.0
2020-01-09 21:00:00,13.26,2020-01-09,21:00:00,13.0
2020-01-10 00:00:00,11.8,2020-01-10,00:00:00,12.0
2020-01-10 03:00:00,13.38,2020-01-10,03:00:00,13.0
2020-01-10 06:00:00,19.46,2020-01-10,06:00:00,19.0
2020-01-10 09:00:00,22.33,2020-01-10,09:00:00,22.0
2020-01-10 12:00:00,19.73,2020-01-10,12:00:00,20.0
2020-01-10 15:00:00,15.75,2020-01-10,15:00:00,16.0
2020-01-10 18:00:00,13.11,2020-01-10,18:00:00,13.0
2020-01-10 21:00:00,11.63,2020-01-10,21:00:00,12.0
2020-01-11 00:00:00,10.77,2020-01-11,00:00:00,11.0
2020-01-11 03:00:00,13.32,2020-01-11,03:00:00,13.0
2020-01-11 06:00:00,19.74,2020-01-11,06:00:00,20.0
2020-01-11 09:00:00,22.95,2020-01-11,09:00:00,23.0
2020-01-11 12:00:00,19.94,2020-01-11,12:00:00,20.0
2020-01-11 15:00:00,16.98,2020-01-11,15:00:00,17.0
2020-01-11 18:00:00,15.69,2020-01-11,18:00:00,16.0
2020-01-11 21:00:00,13.8,2020-01-11,21:00:00,14.0
2020-01-12 00:00:00,12.86,2020-01-12,00:00:00,13.0
2020-01-12 03:00:00,15.52,2020-01-12,03:00:00,16.0
2020-01-12 06:00:00,22.03,2020-01-12,06:00:00,22.0
2020-01-12 09:00:00,25.25,2020-01-12,09:00:00,25.0
2020-01-12 12:00:00,22.11,2020-01-12,12:00:00,22.0
2020-01-12 15:00:00,18.99,2020-01-12,15:00:00,19.0
2020-01-12 18:00:00,17.39,2020-01-12,18:00:00,17.0
2020-01-12 21:00:00,15.82,2020-01-12,21:00:00,16.0
2020-01-13 00:00:00,14.49,2020-01-13,00:00:00,14.0
2020-01-13 03:00:00,17.33,2020-01-13,03:00:00,17.0
2020-01-13 06:00:00,24.05,2020-01-13,06:00:00,24.0
2020-01-13 09:00:00,27.01,2020-01-13,09:00:00,27.0
2020-01-13 12:00:00,23.58,2020-01-13,12:00:00,24.0
2020-01-13 15:00:00,19.91,2020-01-13,15:00:00,20.0
2020-01-13 18:00:00,18.9,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,17.5,2020-01-13,21:00:00,18.0
2020-01-14 00:00:00,15.51,2020-01-14,00:00:00,16.0
2020-01-14 03:00:00,18.08,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,24.36,2020-01-14,06:00:00,24.0
2020-01-14 09:00:00,27.26,2020-01-14,09:00:00,27.0
2020-01-14 12:00:00,24.18,2020-01-14,12:00:00,24.0
2020-01-14 15:00:00,21.16,2020-01-14,15:00:00,21.0
