date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,15.92,2020-01-09,18:00:00,16.0
2020-01-09 21:00:00,14.19,2020-01-09,21:00:00,14.0
2020-01-10 00:00:00,12.48,2020-01-10,00:00:00,12.0
2020-01-10 03:00:00,14.42,2020-01-10,03:00:00,14.0
2020-01-10 06:00:00,22.2,2020-01-10,06:00:00,22.0
2020-01-10 09:00:00,25.97,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,24.51,2020-01-10,12:00:00,25.0
2020-01-10 15:00:00,19.58,2020-01-10,15:00:00,20.0
2020-01-10 18:00:00,16.25,2020-01-10,18:00:00,16.0
2020-01-10 21:00:00,14.96,2020-01-10,21:00:00,15.0
2020-01-11 00:00:00,14.25,2020-01-11,00:00:00,14.0
2020-01-11 03:00:00,16.45,2020-01-11,03:00:00,16.0
2020-01-11 06:00:00,24.36,2020-01-11,06:00:00,24.0
2020-01-11 09:00:00,28.02,2020-01-11,09:00:00,28.0
2020-01-11 12:00:00,27.05,2020-01-11,12:00:00,27.0
2020-01-11 15:00:00,20.81,2020-01-11,15:00:00,21.0
2020-01-11 18:00:00,17.65,2020-01-11,18:00:00,18.0
2020-01-11 21:00:00,16.54,2020-01-11,21:00:00,17.0
2020-01-12 00:00:00,16.36,2020-01-12,00:00:00,16.0
2020-01-12 03:00:00,18.51,2020-01-12,03:00:00,19.0
2020-01-12 06:00:00,26.28,2020-01-12,06:00:00,26.0
2020-01-12 09:00:00,29.48,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,28.03,2020-01-12,12:00:00,28.0
2020-01-12 15:00:00,20.85,2020-01-12,15:00:00,21.0
2020-01-12 18:00:00,18.79,2020-01-12,18:00:00,19.0
2020-01-12 21:00:00,17.77,2020-01-12,21:00:00,18.0
2020-01-13 00:00:00,16.37,2020-01-13,00:00:00,16.0
2020-01-13 03:00:00,19.81,2020-01-13,03:00:00,20.0
2020-01-13 06:00:00,26.26,2020-01-13,06:00:00,26.0
2020-01-13 09:00:00,29.76,2020-01-13,09:00:00,30.0
2020-01-13 12:00:00,26.07,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,19.33,2020-01-13,15:00:00,19.0
2020-01-13 18:00:00,18.1,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,16.01,2020-01-13,21:00:00,16.0
2020-01-14 00:00:00,14.81,2020-01-14,00:00:00,15.0
2020-01-14 03:00:00,17.12,2020-01-14,03:00:00,17.0
2020-01-14 06:00:00,21.37,2020-01-14,06:00:00,21.0
2020-01-14 09:00:00,25.88,2020-01-14,09:00:00,26.0
2020-01-14 12:00:00,25.32,2020-01-14,12:00:00,25.0
2020-01-14 15:00:00,18.49,2020-01-14,15:00:00,18.0
