date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,9.16,2020-01-09,18:00:00,9.0
2020-01-09 21:00:00,7.76,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,6.51,2020-01-10,00:00:00,7.0
2020-01-10 03:00:00,8.15,2020-01-10,03:00:00,8.0
2020-01-10 06:00:00,15.13,2020-01-10,06:00:00,15.0
2020-01-10 09:00:00,17.97,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,13.47,2020-01-10,12:00:00,13.0
2020-01-10 15:00:00,10.44,2020-01-10,15:00:00,10.0
2020-01-10 18:00:00,8.92,2020-01-10,18:00:00,9.0
2020-01-10 21:00:00,7.55,2020-01-10,21:00:00,8.0
2020-01-11 00:00:00,6.28,2020-01-11,00:00:00,6.0
2020-01-11 03:00:00,7.96,2020-01-11,03:00:00,8.0
2020-01-11 06:00:00,15.16,2020-01-11,06:00:00,15.0
2020-01-11 09:00:00,18.47,2020-01-11,09:00:00,18.0
2020-01-11 12:00:00,13.87,2020-01-11,12:00:00,14.0
2020-01-11 15:00:00,11.0,2020-01-11,15:00:00,11.0
2020-01-11 18:00:00,9.8,2020-01-11,18:00:00,10.0
2020-01-11 21:00:00,8.85,2020-01-11,21:00:00,9.0
2020-01-12 00:00:00,8.04,2020-01-12,00:00:00,8.0
2020-01-12 03:00:00,10.29,2020-01-12,03:00:00,10.0
2020-01-12 06:00:00,17.5,2020-01-12,06:00:00,18.0
2020-01-12 09:00:00,20.92,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,16.24,2020-01-12,12:00:00,16.0
2020-01-12 15:00:00,14.1,2020-01-12,15:00:00,14.0
2020-01-12 18:00:00,13.1,2020-01-12,18:00:00,13.0
2020-01-12 21:00:00,11.73,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,11.39,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,13.05,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,20.5,2020-01-13,06:00:00,20.0
2020-01-13 09:00:00,23.7,2020-01-13,09:00:00,24.0
2020-01-13 12:00:00,19.16,2020-01-13,12:00:00,19.0
2020-01-13 15:00:00,18.33,2020-01-13,15:00:00,18.0
2020-01-13 18:00:00,15.42,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,13.67,2020-01-13,21:00:00,14.0
2020-01-14 00:00:00,13.2,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,13.85,2020-01-14,03:00:00,14.0
2020-01-14 06:00:00,18.46,2020-01-14,06:00:00,18.0
2020-01-14 09:00:00,20.77,2020-01-14,09:00:00,21.0
2020-01-14 12:00:00,17.45,2020-01-14,12:00:00,17.0
2020-01-14 15:00:00,14.31,2020-01-14,15:00:00,14.0
