date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,14.74,2020-01-09,18:00:00,15.0
2020-01-09 21:00:00,13.92,2020-01-09,21:00:00,14.0
2020-01-10 00:00:00,13.17,2020-01-10,00:00:00,13.0
2020-01-10 03:00:00,13.62,2020-01-10,03:00:00,14.0
2020-01-10 06:00:00,20.06,2020-01-10,06:00:00,20.0
2020-01-10 09:00:00,24.22,2020-01-10,09:00:00,24.0
2020-01-10 12:00:00,23.36,2020-01-10,12:00:00,23.0
2020-01-10 15:00:00,19.57,2020-01-10,15:00:00,20.0
2020-01-10 18:00:00,18.34,2020-01-10,18:00:00,18.0
2020-01-10 21:00:00,16.73,2020-01-10,21:00:00,17.0
2020-01-11 00:00:00,15.54,2020-01-11,00:00:00,16.0
2020-01-11 03:00:00,15.51,2020-01-11,03:00:00,16.0
2020-01-11 06:00:00,21.6,2020-01-11,06:00:00,22.0
2020-01-11 09:00:00,26.97,2020-01-11,09:00:00,27.0
2020-01-11 12:00:00,26.58,2020-01-11,12:00:00,27.0
2020-01-11 15:00:00,22.74,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,21.3,2020-01-11,18:00:00,21.0
2020-01-11 21:00:00,19.96,2020-01-11,21:00:00,20.0
2020-01-12 00:00:00,18.7,2020-01-12,00:00:00,19.0
2020-01-12 03:00:00,18.9,2020-01-12,03:00:00,19.0
2020-01-12 06:00:00,25.11,2020-01-12,06:00:00,25.0
2020-01-12 09:00:00,29.92,2020-01-12,09:00:00,30.0
2020-01-12 12:00:00,29.34,2020-01-12,12:00:00,29.0
2020-01-12 15:00:00,25.5,2020-01-12,15:00:00,26.0
2020-01-12 18:00:00,22.48,2020-01-12,18:00:00,22.0
2020-01-12 21:00:00,20.41,2020-01-12,21:00:00,20.0
2020-01-13 00:00:00,19.14,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,19.52,2020-01-13,03:00:00,20.0
2020-01-13 06:00:00,24.75,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,24.03,2020-01-13,09:00:00,24.0
2020-01-13 12:00:00,20.42,2020-01-13,12:00:00,20.0
2020-01-13 15:00:00,18.8,2020-01-13,15:00:00,19.0
2020-01-13 18:00:00,17.72,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,14.82,2020-01-13,21:00:00,15.0
2020-01-14 00:00:00,13.45,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,14.57,2020-01-14,03:00:00,15.0
2020-01-14 06:00:00,21.35,2020-01-14,06:00:00,21.0
2020-01-14 09:00:00,24.56,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,23.31,2020-01-14,12:00:00,23.0
2020-01-14 15:00:00,17.91,2020-01-14,15:00:00,18.0
