date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,7.6,2020-01-09,18:00:00,8.0
2020-01-09 21:00:00,6.06,2020-01-09,21:00:00,6.0
2020-01-10 00:00:00,4.78,2020-01-10,00:00:00,5.0
2020-01-10 03:00:00,5.21,2020-01-10,03:00:00,5.0
2020-01-10 06:00:00,13.28,2020-01-10,06:00:00,13.0
2020-01-10 09:00:00,16.19,2020-01-10,09:00:00,16.0
2020-01-10 12:00:00,11.01,2020-01-10,12:00:00,11.0
2020-01-10 15:00:00,7.89,2020-01-10,15:00:00,8.0
2020-01-10 18:00:00,7.37,2020-01-10,18:00:00,7.0
2020-01-10 21:00:00,6.21,2020-01-10,21:00:00,6.0
2020-01-11 00:00:00,5.09,2020-01-11,00:00:00,5.0
2020-01-11 03:00:00,6.82,2020-01-11,03:00:00,7.0
2020-01-11 06:00:00,13.66,2020-01-11,06:00:00,14.0
2020-01-11 09:00:00,16.71,2020-01-11,09:00:00,17.0
2020-01-11 12:00:00,11.32,2020-01-11,12:00:00,11.0
2020-01-11 15:00:00,8.5,2020-01-11,15:00:00,8.0
2020-01-11 18:00:00,10.43,2020-01-11,18:00:00,10.0
2020-01-11 21:00:00,9.62,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,9.32,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,9.53,2020-01-12,03:00:00,10.0
2020-01-12 06:00:00,16.38,2020-01-12,06:00:00,16.0
2020-01-12 09:00:00,18.75,2020-01-12,09:00:00,19.0
2020-01-12 12:00:00,14.85,2020-01-12,12:00:00,15.0
2020-01-12 15:00:00,13.31,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,11.73,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.42,2020-01-12,21:00:00,11.0
2020-01-13 00:00:00,10.55,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,11.06,2020-01-13,03:00:00,11.0
2020-01-13 06:00:00,12.04,2020-01-13,06:00:00,12.0
2020-01-13 09:00:00,10.7,2020-01-13,09:00:00,11.0
2020-01-13 12:00:00,10.75,2020-01-13,12:00:00,11.0
2020-01-13 15:00:00,10.19,2020-01-13,15:00:00,10.0
2020-01-13 18:00:00,11.13,2020-01-13,18:00:00,11.0
2020-01-13 21:00:00,8.18,2020-01-13,21:00:00,8.0
2020-01-14 00:00:00,7.38,2020-01-14,00:00:00,7.0
2020-01-14 03:00:00,8.36,2020-01-14,03:00:00,8.0
2020-01-14 06:00:00,14.39,2020-01-14,06:00:00,14.0
2020-01-14 09:00:00,16.83,2020-01-14,09:00:00,17.0
2020-01-14 12:00:00,13.01,2020-01-14,12:00:00,13.0
2020-01-14 15:00:00,9.49,2020-01-14,15:00:00,9.0
