date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,16.64,2020-01-09,18:00:00,17.0
2020-01-09 21:00:00,14.75,2020-01-09,21:00:00,15.0
2020-01-10 00:00:00,13.41,2020-01-10,00:00:00,13.0
2020-01-10 03:00:00,15.12,2020-01-10,03:00:00,15.0
2020-01-10 06:00:00,21.63,2020-01-10,06:00:00,22.0
2020-01-10 09:00:00,24.5,2020-01-10,09:00:00,24.0
2020-01-10 12:00:00,23.8,2020-01-10,12:00:00,24.0
2020-01-10 15:00:00,18.26,2020-01-10,15:00:00,18.0
2020-01-10 18:00:00,16.53,2020-01-10,18:00:00,17.0
2020-01-10 21:00:00,14.96,2020-01-10,21:00:00,15.0
2020-01-11 00:00:00,13.75,2020-01-11,00:00:00,14.0
2020-01-11 03:00:00,16.11,2020-01-11,03:00:00,16.0
2020-01-11 06:00:00,22.72,2020-01-11,06:00:00,23.0
2020-01-11 09:00:00,25.35,2020-01-11,09:00:00,25.0
2020-01-11 12:00:00,24.86,2020-01-11,12:00:00,25.0
2020-01-11 15:00:00,20.55,2020-01-11,15:00:00,21.0
2020-01-11 18:00:00,18.25,2020-01-11,18:00:00,18.0
2020-01-11 21:00:00,16.14,2020-01-11,21:00:00,16.0
2020-01-12 00:00:00,14.42,2020-01-12,00:00:00,14.0
2020-01-12 03:00:00,18.62,2020-01-12,03:00:00,19.0
2020-01-12 06:00:00,24.46,2020-01-12,06:00:00,24.0
2020-01-12 09:00:00,27.83,2020-01-12,09:00:00,28.0
2020-01-12 12:00:00,26.64,2020-01-12,12:00:00,27.0
2020-01-12 15:00:00,20.26,2020-01-12,15:00:00,20.0
2020-01-12 18:00:00,18.8,2020-01-12,18:00:00,19.0
2020-01-12 21:00:00,17.39,2020-01-12,21:00:00,17.0
2020-01-13 00:00:00,15.63,2020-01-13,00:00:00,16.0
2020-01-13 03:00:00,19.39,2020-01-13,03:00:00,19.0
2020-01-13 06:00:00,26.05,2020-01-13,06:00:00,26.0
2020-01-13 09:00:00,28.33,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,26.91,2020-01-13,12:00:00,27.0
2020-01-13 15:00:00,21.19,2020-01-13,15:00:00,21.0
2020-01-13 18:00:00,19.19,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,16.87,2020-01-13,21:00:00,17.0
2020-01-14 00:00:00,15.53,2020-01-14,00:00:00,16.0
2020-01-14 03:00:00,17.76,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,24.04,2020-01-14,06:00:00,24.0
2020-01-14 09:00:00,26.86,2020-01-14,09:00:00,27.0
2020-01-14 12:00:00,26.08,2020-01-14,12:00:00,26.0
2020-01-14 15:00:00,21.58,2020-01-14,15:00:00,22.0
