date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,19.57,2020-01-09,18:00:00,20.0
2020-01-09 21:00:00,18.36,2020-01-09,21:00:00,18.0
2020-01-10 00:00:00,17.49,2020-01-10,00:00:00,17.0
2020-01-10 03:00:00,20.69,2020-01-10,03:00:00,21.0
2020-01-10 06:00:00,25.53,2020-01-10,06:00:00,26.0
2020-01-10 09:00:00,26.87,2020-01-10,09:00:00,27.0
2020-01-10 12:00:00,24.16,2020-01-10,12:00:00,24.0
2020-01-10 15:00:00,20.56,2020-01-10,15:00:00,21.0
2020-01-10 18:00:00,18.58,2020-01-10,18:00:00,19.0
2020-01-10 21:00:00,17.16,2020-01-10,21:00:00,17.0
2020-01-11 00:00:00,15.85,2020-01-11,00:00:00,16.0
2020-01-11 03:00:00,17.93,2020-01-11,03:00:00,18.0
2020-01-11 06:00:00,23.97,2020-01-11,06:00:00,24.0
2020-01-11 09:00:00,26.48,2020-01-11,09:00:00,26.0
2020-01-11 12:00:00,24.04,2020-01-11,12:00:00,24.0
2020-01-11 15:00:00,20.06,2020-01-11,15:00:00,20.0
2020-01-11 18:00:00,18.06,2020-01-11,18:00:00,18.0
2020-01-11 21:00:00,16.63,2020-01-11,21:00:00,17.0
2020-01-12 00:00:00,15.59,2020-01-12,00:00:00,16.0
2020-01-12 03:00:00,18.77,2020-01-12,03:00:00,19.0
2020-01-12 06:00:00,24.48,2020-01-12,06:00:00,24.0
2020-01-12 09:00:00,27.33,2020-01-12,09:00:00,27.0
2020-01-12 12:00:00,26.46,2020-01-12,12:00:00,26.0
2020-01-12 15:00:00,21.24,2020-01-12,15:00:00,21.0
2020-01-12 18:00:00,19.18,2020-01-12,18:00:00,19.0
2020-01-12 21:00:00,17.86,2020-01-12,21:00:00,18.0
2020-01-13 00:00:00,16.58,2020-01-13,00:00:00,17.0
2020-01-13 03:00:00,19.03,2020-01-13,03:00:00,19.0
2020-01-13 06:00:00,25.24,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,28.26,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,27.52,2020-01-13,12:00:00,28.0
2020-01-13 15:00:00,22.07,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,19.99,2020-01-13,18:00:00,20.0
2020-01-13 21:00:00,18.02,2020-01-13,21:00:00,18.0
2020-01-14 00:00:00,17.02,2020-01-14,00:00:00,17.0
2020-01-14 03:00:00,19.38,2020-01-14,03:00:00,19.0
2020-01-14 06:00:00,25.87,2020-01-14,06:00:00,26.0
2020-01-14 09:00:00,28.48,2020-01-14,09:00:00,28.0
2020-01-14 12:00:00,27.89,2020-01-14,12:00:00,28.0
2020-01-14 15:00:00,22.5,2020-01-14,15:00:00,22.0
