date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,9.56,2020-01-09,18:00:00,10.0
2020-01-09 21:00:00,8.31,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,7.02,2020-01-10,00:00:00,7.0
2020-01-10 03:00:00,9.72,2020-01-10,03:00:00,10.0
2020-01-10 06:00:00,16.21,2020-01-10,06:00:00,16.0
2020-01-10 09:00:00,19.21,2020-01-10,09:00:00,19.0
2020-01-10 12:00:00,15.23,2020-01-10,12:00:00,15.0
2020-01-10 15:00:00,11.26,2020-01-10,15:00:00,11.0
2020-01-10 18:00:00,10.11,2020-01-10,18:00:00,10.0
2020-01-10 21:00:00,8.82,2020-01-10,21:00:00,9.0
2020-01-11 00:00:00,7.79,2020-01-11,00:00:00,8.0
2020-01-11 03:00:00,10.39,2020-01-11,03:00:00,10.0
2020-01-11 06:00:00,17.71,2020-01-11,06:00:00,18.0
2020-01-11 09:00:00,21.07,2020-01-11,09:00:00,21.0
2020-01-11 12:00:00,17.09,2020-01-11,12:00:00,17.0
2020-01-11 15:00:00,13.24,2020-01-11,15:00:00,13.0
2020-01-11 18:00:00,12.08,2020-01-11,18:00:00,12.0
2020-01-11 21:00:00,11.13,2020-01-11,21:00:00,11.0
2020-01-12 00:00:00,10.52,2020-01-12,00:00:00,11.0
2020-01-12 03:00:00,13.37,2020-01-12,03:00:00,13.0
2020-01-12 06:00:00,20.63,2020-01-12,06:00:00,21.0
2020-01-12 09:00:00,24.2,2020-01-12,09:00:00,24.0
2020-01-12 12:00:00,19.86,2020-01-12,12:00:00,20.0
2020-01-12 15:00:00,15.73,2020-01-12,15:00:00,16.0
2020-01-12 18:00:00,15.15,2020-01-12,18:00:00,15.0
2020-01-12 21:00:00,14.56,2020-01-12,21:00:00,15.0
2020-01-13 00:00:00,14.26,2020-01-13,00:00:00,14.0
2020-01-13 03:00:00,17.59,2020-01-13,03:00:00,18.0
2020-01-13 06:00:00,24.43,2020-01-13,06:00:00,24.0
2020-01-13 09:00:00,26.75,2020-01-13,09:00:00,27.0
2020-01-13 12:00:00,22.91,2020-01-13,12:00:00,23.0
2020-01-13 15:00:00,19.31,2020-01-13,15:00:00,19.0
2020-01-13 18:00:00,17.86,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,16.1,2020-01-13,21:00:00,16.0
2020-01-14 00:00:00,14.17,2020-01-14,00:00:00,14.0
2020-01-14 03:00:00,15.74,2020-01-14,03:00:00,16.0
2020-01-14 06:00:00,21.77,2020-01-14,06:00:00,22.0
2020-01-14 09:00:00,24.19,2020-01-14,09:00:00,24.0
2020-01-14 12:00:00,22.12,2020-01-14,12:00:00,22.0
2020-01-14 15:00:00,19.33,2020-01-14,15:00:00,19.0
