date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,7.45,2020-01-09,18:00:00,7.0
2020-01-09 21:00:00,6.92,2020-01-09,21:00:00,7.0
2020-01-10 00:00:00,5.95,2020-01-10,00:00:00,6.0
2020-01-10 03:00:00,6.78,2020-01-10,03:00:00,7.0
2020-01-10 06:00:00,13.38,2020-01-10,06:00:00,13.0
2020-01-10 09:00:00,16.26,2020-01-10,09:00:00,16.0
2020-01-10 12:00:00,11.83,2020-01-10,12:00:00,12.0
2020-01-10 15:00:00,9.32,2020-01-10,15:00:00,9.0
2020-01-10 18:00:00,7.7,2020-01-10,18:00:00,8.0
2020-01-10 21:00:00,7.67,2020-01-10,21:00:00,8.0
2020-01-11 00:00:00,6.83,2020-01-11,00:00:00,7.0
2020-01-11 03:00:00,8.2,2020-01-11,03:00:00,8.0
2020-01-11 06:00:00,13.45,2020-01-11,06:00:00,13.0
2020-01-11 09:00:00,16.63,2020-01-11,09:00:00,17.0
2020-01-11 12:00:00,12.56,2020-01-11,12:00:00,13.0
2020-01-11 15:00:00,9.47,2020-01-11,15:00:00,9.0
2020-01-11 18:00:00,8.57,2020-01-11,18:00:00,9.0
2020-01-11 21:00:00,8.53,2020-01-11,21:00:00,9.0
2020-01-12 00:00:00,9.42,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,9.32,2020-01-12,03:00:00,9.0
2020-01-12 06:00:00,15.33,2020-01-12,06:00:00,15.0
2020-01-12 09:00:00,19.0,2020-01-12,09:00:00,19.0
2020-01-12 12:00:00,15.19,2020-01-12,12:00:00,15.0
2020-01-12 15:00:00,12.61,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,12.49,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,12.39,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,12.2,2020-01-13,00:00:00,12.0
2020-01-13 03:00:00,12.46,2020-01-13,03:00:00,12.0
2020-01-13 06:00:00,18.18,2020-01-13,06:00:00,18.0
2020-01-13 09:00:00,17.85,2020-01-13,09:00:00,18.0
2020-01-13 12:00:00,15.45,2020-01-13,12:00:00,15.0
2020-01-13 15:00:00,14.39,2020-01-13,15:00:00,14.0
2020-01-13 18:00:00,11.96,2020-01-13,18:00:00,12.0
2020-01-13 21:00:00,12.64,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,12.24,2020-01-14,00:00:00,12.0
2020-01-14 03:00:00,11.15,2020-01-14,03:00:00,11.0
2020-01-14 06:00:00,16.21,2020-01-14,06:00:00,16.0
2020-01-14 09:00:00,18.02,2020-01-14,09:00:00,18.0
2020-01-14 12:00:00,14.55,2020-01-14,12:00:00,15.0
2020-01-14 15:00:00,11.68,2020-01-14,15:00:00,12.0
