date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,24.18,2020-01-09,18:00:00,24.0
2020-01-09 21:00:00,24.25,2020-01-09,21:00:00,24.0
2020-01-10 00:00:00,24.6,2020-01-10,00:00:00,25.0
2020-01-10 03:00:00,25.27,2020-01-10,03:00:00,25.0
2020-01-10 06:00:00,25.91,2020-01-10,06:00:00,26.0
2020-01-10 09:00:00,25.95,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,25.82,2020-01-10,12:00:00,26.0
2020-01-10 15:00:00,25.65,2020-01-10,15:00:00,26.0
2020-01-10 18:00:00,25.36,2020-01-10,18:00:00,25.0
2020-01-10 21:00:00,25.35,2020-01-10,21:00:00,25.0
2020-01-11 00:00:00,25.29,2020-01-11,00:00:00,25.0
2020-01-11 03:00:00,25.58,2020-01-11,03:00:00,26.0
2020-01-11 06:00:00,25.78,2020-01-11,06:00:00,26.0
2020-01-11 09:00:00,25.66,2020-01-11,09:00:00,26.0
2020-01-11 12:00:00,25.63,2020-01-11,12:00:00,26.0
2020-01-11 15:00:00,25.94,2020-01-11,15:00:00,26.0
2020-01-11 18:00:00,26.04,2020-01-11,18:00:00,26.0
2020-01-11 21:00:00,25.79,2020-01-11,21:00:00,26.0
2020-01-12 00:00:00,25.76,2020-01-12,00:00:00,26.0
2020-01-12 03:00:00,25.79,2020-01-12,03:00:00,26.0
2020-01-12 06:00:00,25.98,2020-01-12,06:00:00,26.0
2020-01-12 09:00:00,26.29,2020-01-12,09:00:00,26.0
2020-01-12 12:00:00,26.28,2020-01-12,12:00:00,26.0
2020-01-12 15:00:00,25.85,2020-01-12,15:00:00,26.0
2020-01-12 18:00:00,25.5,2020-01-12,18:00:00,26.0
2020-01-12 21:00:00,25.29,2020-01-12,21:00:00,25.0
2020-01-13 00:00:00,25.27,2020-01-13,00:00:00,25.0
2020-01-13 03:00:00,25.35,2020-01-13,03:00:00,25.0
2020-01-13 06:00:00,25.54,2020-01-13,06:00:00,26.0
2020-01-13 09:00:00,25.58,2020-01-13,09:00:00,26.0
2020-01-13 12:00:00,25.64,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,25.56,2020-01-13,15:00:00,26.0
2020-01-13 18:00:00,25.36,2020-01-13,18:00:00,25.0
2020-01-13 21:00:00,25.09,2020-01-13,21:00:00,25.0
2020-01-14 00:00:00,24.85,2020-01-14,00:00:00,25.0
2020-01-14 03:00:00,24.98,2020-01-14,03:00:00,25.0
2020-01-14 06:00:00,25.3,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,25.43,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,25.65,2020-01-14,12:00:00,26.0
2020-01-14 15:00:00,25.66,2020-01-14,15:00:00,26.0
