date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,22.67,2020-01-09,18:00:00,23.0
2020-01-09 21:00:00,22.08,2020-01-09,21:00:00,22.0
2020-01-10 00:00:00,20.11,2020-01-10,00:00:00,20.0
2020-01-10 03:00:00,21.67,2020-01-10,03:00:00,22.0
2020-01-10 06:00:00,26.24,2020-01-10,06:00:00,26.0
2020-01-10 09:00:00,29.13,2020-01-10,09:00:00,29.0
2020-01-10 12:00:00,26.95,2020-01-10,12:00:00,27.0
2020-01-10 15:00:00,22.28,2020-01-10,15:00:00,22.0
2020-01-10 18:00:00,20.21,2020-01-10,18:00:00,20.0
2020-01-10 21:00:00,18.67,2020-01-10,21:00:00,19.0
2020-01-11 00:00:00,17.47,2020-01-11,00:00:00,17.0
2020-01-11 03:00:00,19.86,2020-01-11,03:00:00,20.0
2020-01-11 06:00:00,24.51,2020-01-11,06:00:00,25.0
2020-01-11 09:00:00,27.16,2020-01-11,09:00:00,27.0
2020-01-11 12:00:00,24.58,2020-01-11,12:00:00,25.0
2020-01-11 15:00:00,20.79,2020-01-11,15:00:00,21.0
2020-01-11 18:00:00,19.51,2020-01-11,18:00:00,20.0
2020-01-11 21:00:00,18.39,2020-01-11,21:00:00,18.0
2020-01-12 00:00:00,17.16,2020-01-12,00:00:00,17.0
2020-01-12 03:00:00,20.11,2020-01-12,03:00:00,20.0
2020-01-12 06:00:00,25.34,2020-01-12,06:00:00,25.0
2020-01-12 09:00:00,27.85,2020-01-12,09:00:00,28.0
2020-01-12 12:00:00,25.82,2020-01-12,12:00:00,26.0
2020-01-12 15:00:00,21.27,2020-01-12,15:00:00,21.0
2020-01-12 18:00:00,19.74,2020-01-12,18:00:00,20.0
2020-01-12 21:00:00,18.83,2020-01-12,21:00:00,19.0
2020-01-13 00:00:00,17.94,2020-01-13,00:00:00,18.0
2020-01-13 03:00:00,20.72,2020-01-13,03:00:00,21.0
2020-01-13 06:00:00,25.49,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,28.79,2020-01-13,09:00:00,29.0
2020-01-13 12:00:00,28.05,2020-01-13,12:00:00,28.0
2020-01-13 15:00:00,24.18,2020-01-13,15:00:00,24.0
2020-01-13 18:00:00,21.05,2020-01-13,18:00:00,21.0
2020-01-13 21:00:00,19.62,2020-01-13,21:00:00,20.0
2020-01-14 00:00:00,18.51,2020-01-14,00:00:00,19.0
2020-01-14 03:00:00,20.76,2020-01-14,03:00:00,21.0
2020-01-14 06:00:00,24.81,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,28.35,2020-01-14,09:00:00,28.0
2020-01-14 12:00:00,27.66,2020-01-14,12:00:00,28.0
2020-01-14 15:00:00,23.27,2020-01-14,15:00:00,23.0
