date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,8.54,2020-01-09,18:00:00,9.0
2020-01-09 21:00:00,7.72,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,7.21,2020-01-10,00:00:00,7.0
2020-01-10 03:00:00,8.24,2020-01-10,03:00:00,8.0
2020-01-10 06:00:00,14.88,2020-01-10,06:00:00,15.0
2020-01-10 09:00:00,17.8,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,15.19,2020-01-10,12:00:00,15.0
2020-01-10 15:00:00,12.78,2020-01-10,15:00:00,13.0
2020-01-10 18:00:00,11.13,2020-01-10,18:00:00,11.0
2020-01-10 21:00:00,9.97,2020-01-10,21:00:00,10.0
2020-01-11 00:00:00,8.62,2020-01-11,00:00:00,9.0
2020-01-11 03:00:00,8.84,2020-01-11,03:00:00,9.0
2020-01-11 06:00:00,14.9,2020-01-11,06:00:00,15.0
2020-01-11 09:00:00,18.56,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,15.88,2020-01-11,12:00:00,16.0
2020-01-11 15:00:00,13.66,2020-01-11,15:00:00,14.0
2020-01-11 18:00:00,12.27,2020-01-11,18:00:00,12.0
2020-01-11 21:00:00,11.29,2020-01-11,21:00:00,11.0
2020-01-12 00:00:00,10.59,2020-01-12,00:00:00,11.0
2020-01-12 03:00:00,10.99,2020-01-12,03:00:00,11.0
2020-01-12 06:00:00,17.37,2020-01-12,06:00:00,17.0
2020-01-12 09:00:00,21.12,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,18.26,2020-01-12,12:00:00,18.0
2020-01-12 15:00:00,16.51,2020-01-12,15:00:00,17.0
2020-01-12 18:00:00,15.08,2020-01-12,18:00:00,15.0
2020-01-12 21:00:00,13.83,2020-01-12,21:00:00,14.0
2020-01-13 00:00:00,13.14,2020-01-13,00:00:00,13.0
2020-01-13 03:00:00,13.52,2020-01-13,03:00:00,14.0
2020-01-13 06:00:00,18.8,2020-01-13,06:00:00,19.0
2020-01-13 09:00:00,21.46,2020-01-13,09:00:00,21.0
2020-01-13 12:00:00,18.53,2020-01-13,12:00:00,19.0
2020-01-13 15:00:00,16.24,2020-01-13,15:00:00,16.0
2020-01-13 18:00:00,14.48,2020-01-13,18:00:00,14.0
2020-01-13 21:00:00,14.4,2020-01-13,21:00:00,14.0
2020-01-14 00:00:00,12.77,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,12.82,2020-01-14,03:00:00,13.0
2020-01-14 06:00:00,16.88,2020-01-14,06:00:00,17.0
2020-01-14 09:00:00,19.43,2020-01-14,09:00:00,19.0
2020-01-14 12:00:00,17.15,2020-01-14,12:00:00,17.0
2020-01-14 15:00:00,15.03,2020-01-14,15:00:00,15.0
