date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,16.25,2020-01-09,18:00:00,16.0
2020-01-09 21:00:00,15.25,2020-01-09,21:00:00,15.0
2020-01-10 00:00:00,12.85,2020-01-10,00:00:00,13.0
2020-01-10 03:00:00,14.58,2020-01-10,03:00:00,15.0
2020-01-10 06:00:00,18.76,2020-01-10,06:00:00,19.0
2020-01-10 09:00:00,20.39,2020-01-10,09:00:00,20.0
2020-01-10 12:00:00,17.25,2020-01-10,12:00:00,17.0
2020-01-10 15:00:00,15.16,2020-01-10,15:00:00,15.0
2020-01-10 18:00:00,13.73,2020-01-10,18:00:00,14.0
2020-01-10 21:00:00,12.49,2020-01-10,21:00:00,12.0
2020-01-11 00:00:00,11.41,2020-01-11,00:00:00,11.0
2020-01-11 03:00:00,14.34,2020-01-11,03:00:00,14.0
2020-01-11 06:00:00,18.86,2020-01-11,06:00:00,19.0
2020-01-11 09:00:00,20.75,2020-01-11,09:00:00,21.0
2020-01-11 12:00:00,17.29,2020-01-11,12:00:00,17.0
2020-01-11 15:00:00,15.09,2020-01-11,15:00:00,15.0
2020-01-11 18:00:00,13.53,2020-01-11,18:00:00,14.0
2020-01-11 21:00:00,12.25,2020-01-11,21:00:00,12.0
2020-01-12 00:00:00,11.23,2020-01-12,00:00:00,11.0
2020-01-12 03:00:00,14.55,2020-01-12,03:00:00,15.0
2020-01-12 06:00:00,19.76,2020-01-12,06:00:00,20.0
2020-01-12 09:00:00,21.65,2020-01-12,09:00:00,22.0
2020-01-12 12:00:00,17.91,2020-01-12,12:00:00,18.0
2020-01-12 15:00:00,15.59,2020-01-12,15:00:00,16.0
2020-01-12 18:00:00,14.07,2020-01-12,18:00:00,14.0
2020-01-12 21:00:00,12.66,2020-01-12,21:00:00,13.0
2020-01-13 00:00:00,11.55,2020-01-13,00:00:00,12.0
2020-01-13 03:00:00,15.18,2020-01-13,03:00:00,15.0
2020-01-13 06:00:00,19.89,2020-01-13,06:00:00,20.0
2020-01-13 09:00:00,22.05,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,18.74,2020-01-13,12:00:00,19.0
2020-01-13 15:00:00,16.84,2020-01-13,15:00:00,17.0
2020-01-13 18:00:00,15.49,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,14.31,2020-01-13,21:00:00,14.0
2020-01-14 00:00:00,13.6,2020-01-14,00:00:00,14.0
2020-01-14 03:00:00,17.5,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,22.79,2020-01-14,06:00:00,23.0
2020-01-14 09:00:00,25.09,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,21.88,2020-01-14,12:00:00,22.0
2020-01-14 15:00:00,19.62,2020-01-14,15:00:00,20.0
