date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,8.69,2020-01-09,18:00:00,9.0
2020-01-09 21:00:00,8.16,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,8.04,2020-01-10,00:00:00,8.0
2020-01-10 03:00:00,9.5,2020-01-10,03:00:00,10.0
2020-01-10 06:00:00,15.37,2020-01-10,06:00:00,15.0
2020-01-10 09:00:00,18.23,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,15.0,2020-01-10,12:00:00,15.0
2020-01-10 15:00:00,12.8,2020-01-10,15:00:00,13.0
2020-01-10 18:00:00,11.41,2020-01-10,18:00:00,11.0
2020-01-10 21:00:00,10.06,2020-01-10,21:00:00,10.0
2020-01-11 00:00:00,9.23,2020-01-11,00:00:00,9.0
2020-01-11 03:00:00,10.15,2020-01-11,03:00:00,10.0
2020-01-11 06:00:00,15.85,2020-01-11,06:00:00,16.0
2020-01-11 09:00:00,19.05,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,15.41,2020-01-11,12:00:00,15.0
2020-01-11 15:00:00,13.25,2020-01-11,15:00:00,13.0
2020-01-11 18:00:00,12.04,2020-01-11,18:00:00,12.0
2020-01-11 21:00:00,11.03,2020-01-11,21:00:00,11.0
2020-01-12 00:00:00,10.44,2020-01-12,00:00:00,10.0
2020-01-12 03:00:00,11.79,2020-01-12,03:00:00,12.0
2020-01-12 06:00:00,17.75,2020-01-12,06:00:00,18.0
2020-01-12 09:00:00,21.4,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,17.67,2020-01-12,12:00:00,18.0
2020-01-12 15:00:00,15.33,2020-01-12,15:00:00,15.0
2020-01-12 18:00:00,13.64,2020-01-12,18:00:00,14.0
2020-01-12 21:00:00,12.92,2020-01-12,21:00:00,13.0
2020-01-13 00:00:00,12.08,2020-01-13,00:00:00,12.0
2020-01-13 03:00:00,13.12,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,19.58,2020-01-13,06:00:00,20.0
2020-01-13 09:00:00,21.74,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,18.35,2020-01-13,12:00:00,18.0
2020-01-13 15:00:00,16.37,2020-01-13,15:00:00,16.0
2020-01-13 18:00:00,15.18,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,14.09,2020-01-13,21:00:00,14.0
2020-01-14 00:00:00,13.31,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,13.37,2020-01-14,03:00:00,13.0
2020-01-14 06:00:00,17.53,2020-01-14,06:00:00,18.0
2020-01-14 09:00:00,20.06,2020-01-14,09:00:00,20.0
2020-01-14 12:00:00,17.53,2020-01-14,12:00:00,18.0
2020-01-14 15:00:00,15.37,2020-01-14,15:00:00,15.0
