date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,14.7,2020-01-09,18:00:00,15.0
2020-01-09 21:00:00,13.57,2020-01-09,21:00:00,14.0
2020-01-10 00:00:00,14.22,2020-01-10,00:00:00,14.0
2020-01-10 03:00:00,17.49,2020-01-10,03:00:00,17.0
2020-01-10 06:00:00,20.39,2020-01-10,06:00:00,20.0
2020-01-10 09:00:00,20.43,2020-01-10,09:00:00,20.0
2020-01-10 12:00:00,14.44,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,13.41,2020-01-10,15:00:00,13.0
2020-01-10 18:00:00,12.77,2020-01-10,18:00:00,13.0
2020-01-10 21:00:00,11.91,2020-01-10,21:00:00,12.0
2020-01-11 00:00:00,11.23,2020-01-11,00:00:00,11.0
2020-01-11 03:00:00,17.04,2020-01-11,03:00:00,17.0
2020-01-11 06:00:00,21.08,2020-01-11,06:00:00,21.0
2020-01-11 09:00:00,20.64,2020-01-11,09:00:00,21.0
2020-01-11 12:00:00,14.16,2020-01-11,12:00:00,14.0
2020-01-11 15:00:00,12.98,2020-01-11,15:00:00,13.0
2020-01-11 18:00:00,12.37,2020-01-11,18:00:00,12.0
2020-01-11 21:00:00,11.43,2020-01-11,21:00:00,11.0
2020-01-12 00:00:00,10.73,2020-01-12,00:00:00,11.0
2020-01-12 03:00:00,17.25,2020-01-12,03:00:00,17.0
2020-01-12 06:00:00,21.02,2020-01-12,06:00:00,21.0
2020-01-12 09:00:00,21.04,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,14.31,2020-01-12,12:00:00,14.0
2020-01-12 15:00:00,13.27,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,12.57,2020-01-12,18:00:00,13.0
2020-01-12 21:00:00,11.69,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,11.09,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,17.54,2020-01-13,03:00:00,18.0
2020-01-13 06:00:00,21.7,2020-01-13,06:00:00,22.0
2020-01-13 09:00:00,21.85,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,14.89,2020-01-13,12:00:00,15.0
2020-01-13 15:00:00,14.05,2020-01-13,15:00:00,14.0
2020-01-13 18:00:00,13.41,2020-01-13,18:00:00,13.0
2020-01-13 21:00:00,12.53,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,11.74,2020-01-14,00:00:00,12.0
2020-01-14 03:00:00,18.26,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,22.73,2020-01-14,06:00:00,23.0
2020-01-14 09:00:00,22.21,2020-01-14,09:00:00,22.0
2020-01-14 12:00:00,15.83,2020-01-14,12:00:00,16.0
2020-01-14 15:00:00,15.0,2020-01-14,15:00:00,15.0
