date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,8.92,2020-01-09,18:00:00,9.0
2020-01-09 21:00:00,7.5,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,6.19,2020-01-10,00:00:00,6.0
2020-01-10 03:00:00,8.89,2020-01-10,03:00:00,9.0
2020-01-10 06:00:00,15.58,2020-01-10,06:00:00,16.0
2020-01-10 09:00:00,18.24,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,13.7,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,9.97,2020-01-10,15:00:00,10.0
2020-01-10 18:00:00,8.91,2020-01-10,18:00:00,9.0
2020-01-10 21:00:00,7.65,2020-01-10,21:00:00,8.0
2020-01-11 00:00:00,6.43,2020-01-11,00:00:00,6.0
2020-01-11 03:00:00,9.5,2020-01-11,03:00:00,10.0
2020-01-11 06:00:00,16.98,2020-01-11,06:00:00,17.0
2020-01-11 09:00:00,20.55,2020-01-11,09:00:00,21.0
2020-01-11 12:00:00,15.58,2020-01-11,12:00:00,16.0
2020-01-11 15:00:00,11.22,2020-01-11,15:00:00,11.0
2020-01-11 18:00:00,9.98,2020-01-11,18:00:00,10.0
2020-01-11 21:00:00,9.64,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,8.72,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,12.47,2020-01-12,03:00:00,12.0
2020-01-12 06:00:00,20.46,2020-01-12,06:00:00,20.0
2020-01-12 09:00:00,24.17,2020-01-12,09:00:00,24.0
2020-01-12 12:00:00,18.9,2020-01-12,12:00:00,19.0
2020-01-12 15:00:00,14.87,2020-01-12,15:00:00,15.0
2020-01-12 18:00:00,13.63,2020-01-12,18:00:00,14.0
2020-01-12 21:00:00,13.23,2020-01-12,21:00:00,13.0
2020-01-13 00:00:00,12.74,2020-01-13,00:00:00,13.0
2020-01-13 03:00:00,15.52,2020-01-13,03:00:00,16.0
2020-01-13 06:00:00,23.95,2020-01-13,06:00:00,24.0
2020-01-13 09:00:00,27.83,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,21.82,2020-01-13,12:00:00,22.0
2020-01-13 15:00:00,17.65,2020-01-13,15:00:00,18.0
2020-01-13 18:00:00,16.8,2020-01-13,18:00:00,17.0
2020-01-13 21:00:00,15.09,2020-01-13,21:00:00,15.0
2020-01-14 00:00:00,13.35,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,13.84,2020-01-14,03:00:00,14.0
2020-01-14 06:00:00,17.43,2020-01-14,06:00:00,17.0
2020-01-14 09:00:00,21.63,2020-01-14,09:00:00,22.0
2020-01-14 12:00:00,18.61,2020-01-14,12:00:00,19.0
2020-01-14 15:00:00,14.43,2020-01-14,15:00:00,14.0
