date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,20.57,2020-01-09,18:00:00,21.0
2020-01-09 21:00:00,20.53,2020-01-09,21:00:00,21.0
2020-01-10 00:00:00,18.9,2020-01-10,00:00:00,19.0
2020-01-10 03:00:00,21.58,2020-01-10,03:00:00,22.0
2020-01-10 06:00:00,27.11,2020-01-10,06:00:00,27.0
2020-01-10 09:00:00,27.21,2020-01-10,09:00:00,27.0
2020-01-10 12:00:00,26.65,2020-01-10,12:00:00,27.0
2020-01-10 15:00:00,22.96,2020-01-10,15:00:00,23.0
2020-01-10 18:00:00,21.85,2020-01-10,18:00:00,22.0
2020-01-10 21:00:00,19.68,2020-01-10,21:00:00,20.0
2020-01-11 00:00:00,17.82,2020-01-11,00:00:00,18.0
2020-01-11 03:00:00,20.43,2020-01-11,03:00:00,20.0
2020-01-11 06:00:00,26.27,2020-01-11,06:00:00,26.0
2020-01-11 09:00:00,29.03,2020-01-11,09:00:00,29.0
2020-01-11 12:00:00,27.31,2020-01-11,12:00:00,27.0
2020-01-11 15:00:00,22.43,2020-01-11,15:00:00,22.0
2020-01-11 18:00:00,20.71,2020-01-11,18:00:00,21.0
2020-01-11 21:00:00,19.26,2020-01-11,21:00:00,19.0
2020-01-12 00:00:00,17.45,2020-01-12,00:00:00,17.0
2020-01-12 03:00:00,19.84,2020-01-12,03:00:00,20.0
2020-01-12 06:00:00,26.35,2020-01-12,06:00:00,26.0
2020-01-12 09:00:00,29.14,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,27.75,2020-01-12,12:00:00,28.0
2020-01-12 15:00:00,22.62,2020-01-12,15:00:00,23.0
2020-01-12 18:00:00,21.0,2020-01-12,18:00:00,21.0
2020-01-12 21:00:00,19.03,2020-01-12,21:00:00,19.0
2020-01-13 00:00:00,17.9,2020-01-13,00:00:00,18.0
2020-01-13 03:00:00,20.98,2020-01-13,03:00:00,21.0
2020-01-13 06:00:00,27.03,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,29.5,2020-01-13,09:00:00,30.0
2020-01-13 12:00:00,28.66,2020-01-13,12:00:00,29.0
2020-01-13 15:00:00,22.28,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,19.48,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,18.32,2020-01-13,21:00:00,18.0
2020-01-14 00:00:00,17.24,2020-01-14,00:00:00,17.0
2020-01-14 03:00:00,20.51,2020-01-14,03:00:00,21.0
2020-01-14 06:00:00,25.35,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,29.26,2020-01-14,09:00:00,29.0
2020-01-14 12:00:00,28.47,2020-01-14,12:00:00,28.0
2020-01-14 15:00:00,21.78,2020-01-14,15:00:00,22.0
