date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,20.81,2020-01-09,18:00:00,21.0
2020-01-09 21:00:00,19.7,2020-01-09,21:00:00,20.0
2020-01-10 00:00:00,18.98,2020-01-10,00:00:00,19.0
2020-01-10 03:00:00,19.52,2020-01-10,03:00:00,20.0
2020-01-10 06:00:00,23.49,2020-01-10,06:00:00,23.0
2020-01-10 09:00:00,25.96,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,24.75,2020-01-10,12:00:00,25.0
2020-01-10 15:00:00,21.39,2020-01-10,15:00:00,21.0
2020-01-10 18:00:00,19.77,2020-01-10,18:00:00,20.0
2020-01-10 21:00:00,18.0,2020-01-10,21:00:00,18.0
2020-01-11 00:00:00,16.77,2020-01-11,00:00:00,17.0
2020-01-11 03:00:00,18.41,2020-01-11,03:00:00,18.0
2020-01-11 06:00:00,24.08,2020-01-11,06:00:00,24.0
2020-01-11 09:00:00,26.81,2020-01-11,09:00:00,27.0
2020-01-11 12:00:00,25.43,2020-01-11,12:00:00,25.0
2020-01-11 15:00:00,21.38,2020-01-11,15:00:00,21.0
2020-01-11 18:00:00,19.69,2020-01-11,18:00:00,20.0
2020-01-11 21:00:00,18.59,2020-01-11,21:00:00,19.0
2020-01-12 00:00:00,17.64,2020-01-12,00:00:00,18.0
2020-01-12 03:00:00,19.52,2020-01-12,03:00:00,20.0
2020-01-12 06:00:00,24.18,2020-01-12,06:00:00,24.0
2020-01-12 09:00:00,27.34,2020-01-12,09:00:00,27.0
2020-01-12 12:00:00,25.24,2020-01-12,12:00:00,25.0
2020-01-12 15:00:00,21.21,2020-01-12,15:00:00,21.0
2020-01-12 18:00:00,19.68,2020-01-12,18:00:00,20.0
2020-01-12 21:00:00,18.78,2020-01-12,21:00:00,19.0
2020-01-13 00:00:00,17.68,2020-01-13,00:00:00,18.0
2020-01-13 03:00:00,19.89,2020-01-13,03:00:00,20.0
2020-01-13 06:00:00,24.95,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,27.94,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,26.12,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,22.42,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,20.67,2020-01-13,18:00:00,21.0
2020-01-13 21:00:00,19.42,2020-01-13,21:00:00,19.0
2020-01-14 00:00:00,18.13,2020-01-14,00:00:00,18.0
2020-01-14 03:00:00,19.94,2020-01-14,03:00:00,20.0
2020-01-14 06:00:00,26.24,2020-01-14,06:00:00,26.0
2020-01-14 09:00:00,28.5,2020-01-14,09:00:00,28.0
2020-01-14 12:00:00,26.84,2020-01-14,12:00:00,27.0
2020-01-14 15:00:00,23.53,2020-01-14,15:00:00,24.0
