date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,10.15,2020-01-09,18:00:00,10.0
2020-01-09 21:00:00,8.29,2020-01-09,21:00:00,8.0
2020-01-10 00:00:00,7.82,2020-01-10,00:00:00,8.0
2020-01-10 03:00:00,10.79,2020-01-10,03:00:00,11.0
2020-01-10 06:00:00,18.33,2020-01-10,06:00:00,18.0
2020-01-10 09:00:00,21.23,2020-01-10,09:00:00,21.0
2020-01-10 12:00:00,18.28,2020-01-10,12:00:00,18.0
2020-01-10 15:00:00,13.01,2020-01-10,15:00:00,13.0
2020-01-10 18:00:00,11.47,2020-01-10,18:00:00,11.0
2020-01-10 21:00:00,10.6,2020-01-10,21:00:00,11.0
2020-01-11 00:00:00,9.85,2020-01-11,00:00:00,10.0
2020-01-11 03:00:00,12.66,2020-01-11,03:00:00,13.0
2020-01-11 06:00:00,19.58,2020-01-11,06:00:00,20.0
2020-01-11 09:00:00,23.04,2020-01-11,09:00:00,23.0
2020-01-11 12:00:00,20.8,2020-01-11,12:00:00,21.0
2020-01-11 15:00:00,16.29,2020-01-11,15:00:00,16.0
2020-01-11 18:00:00,14.91,2020-01-11,18:00:00,15.0
2020-01-11 21:00:00,14.18,2020-01-11,21:00:00,14.0
2020-01-12 00:00:00,13.17,2020-01-12,00:00:00,13.0
2020-01-12 03:00:00,16.19,2020-01-12,03:00:00,16.0
2020-01-12 06:00:00,22.62,2020-01-12,06:00:00,23.0
2020-01-12 09:00:00,26.24,2020-01-12,09:00:00,26.0
2020-01-12 12:00:00,23.49,2020-01-12,12:00:00,23.0
2020-01-12 15:00:00,18.65,2020-01-12,15:00:00,19.0
2020-01-12 18:00:00,17.36,2020-01-12,18:00:00,17.0
2020-01-12 21:00:00,16.12,2020-01-12,21:00:00,16.0
2020-01-13 00:00:00,15.04,2020-01-13,00:00:00,15.0
2020-01-13 03:00:00,18.61,2020-01-13,03:00:00,19.0
2020-01-13 06:00:00,25.4,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,28.41,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,26.24,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,20.77,2020-01-13,15:00:00,21.0
2020-01-13 18:00:00,18.9,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,16.68,2020-01-13,21:00:00,17.0
2020-01-14 00:00:00,17.22,2020-01-14,00:00:00,17.0
2020-01-14 03:00:00,17.98,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,22.49,2020-01-14,06:00:00,22.0
2020-01-14 09:00:00,25.31,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,23.95,2020-01-14,12:00:00,24.0
2020-01-14 15:00:00,19.39,2020-01-14,15:00:00,19.0
