date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,10.35,2020-01-09,18:00:00,10.0
2020-01-09 21:00:00,7.48,2020-01-09,21:00:00,7.0
2020-01-10 00:00:00,6.04,2020-01-10,00:00:00,6.0
2020-01-10 03:00:00,9.17,2020-01-10,03:00:00,9.0
2020-01-10 06:00:00,15.53,2020-01-10,06:00:00,16.0
2020-01-10 09:00:00,18.78,2020-01-10,09:00:00,19.0
2020-01-10 12:00:00,14.05,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,9.12,2020-01-10,15:00:00,9.0
2020-01-10 18:00:00,6.84,2020-01-10,18:00:00,7.0
2020-01-10 21:00:00,5.52,2020-01-10,21:00:00,6.0
2020-01-11 00:00:00,4.55,2020-01-11,00:00:00,5.0
2020-01-11 03:00:00,9.49,2020-01-11,03:00:00,9.0
2020-01-11 06:00:00,16.91,2020-01-11,06:00:00,17.0
2020-01-11 09:00:00,20.16,2020-01-11,09:00:00,20.0
2020-01-11 12:00:00,14.52,2020-01-11,12:00:00,15.0
2020-01-11 15:00:00,9.39,2020-01-11,15:00:00,9.0
2020-01-11 18:00:00,8.24,2020-01-11,18:00:00,8.0
2020-01-11 21:00:00,7.21,2020-01-11,21:00:00,7.0
2020-01-12 00:00:00,6.61,2020-01-12,00:00:00,7.0
2020-01-12 03:00:00,12.36,2020-01-12,03:00:00,12.0
2020-01-12 06:00:00,19.54,2020-01-12,06:00:00,20.0
2020-01-12 09:00:00,22.68,2020-01-12,09:00:00,23.0
2020-01-12 12:00:00,17.29,2020-01-12,12:00:00,17.0
2020-01-12 15:00:00,13.19,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,11.8,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.19,2020-01-12,21:00:00,11.0
2020-01-13 00:00:00,11.54,2020-01-13,00:00:00,12.0
2020-01-13 03:00:00,15.15,2020-01-13,03:00:00,15.0
2020-01-13 06:00:00,21.66,2020-01-13,06:00:00,22.0
2020-01-13 09:00:00,25.58,2020-01-13,09:00:00,26.0
2020-01-13 12:00:00,18.67,2020-01-13,12:00:00,19.0
2020-01-13 15:00:00,13.76,2020-01-13,15:00:00,14.0
2020-01-13 18:00:00,12.21,2020-01-13,18:00:00,12.0
2020-01-13 21:00:00,9.57,2020-01-13,21:00:00,10.0
2020-01-14 00:00:00,8.42,2020-01-14,00:00:00,8.0
2020-01-14 03:00:00,10.28,2020-01-14,03:00:00,10.0
2020-01-14 06:00:00,15.9,2020-01-14,06:00:00,16.0
2020-01-14 09:00:00,18.99,2020-01-14,09:00:00,19.0
2020-01-14 12:00:00,15.02,2020-01-14,12:00:00,15.0
2020-01-14 15:00:00,11.67,2020-01-14,15:00:00,12.0
