date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,11.7,2020-01-09,18:00:00,12.0
2020-01-09 21:00:00,10.28,2020-01-09,21:00:00,10.0
2020-01-10 00:00:00,8.83,2020-01-10,00:00:00,9.0
2020-01-10 03:00:00,9.3,2020-01-10,03:00:00,9.0
2020-01-10 06:00:00,16.45,2020-01-10,06:00:00,16.0
2020-01-10 09:00:00,19.92,2020-01-10,09:00:00,20.0
2020-01-10 12:00:00,18.24,2020-01-10,12:00:00,18.0
2020-01-10 15:00:00,13.87,2020-01-10,15:00:00,14.0
2020-01-10 18:00:00,11.82,2020-01-10,18:00:00,12.0
2020-01-10 21:00:00,10.42,2020-01-10,21:00:00,10.0
2020-01-11 00:00:00,9.65,2020-01-11,00:00:00,10.0
2020-01-11 03:00:00,10.52,2020-01-11,03:00:00,11.0
2020-01-11 06:00:00,18.26,2020-01-11,06:00:00,18.0
2020-01-11 09:00:00,22.09,2020-01-11,09:00:00,22.0
2020-01-11 12:00:00,20.73,2020-01-11,12:00:00,21.0
2020-01-11 15:00:00,17.2,2020-01-11,15:00:00,17.0
2020-01-11 18:00:00,14.82,2020-01-11,18:00:00,15.0
2020-01-11 21:00:00,13.4,2020-01-11,21:00:00,13.0
2020-01-12 00:00:00,12.7,2020-01-12,00:00:00,13.0
2020-01-12 03:00:00,13.39,2020-01-12,03:00:00,13.0
2020-01-12 06:00:00,22.12,2020-01-12,06:00:00,22.0
2020-01-12 09:00:00,26.79,2020-01-12,09:00:00,27.0
2020-01-12 12:00:00,24.85,2020-01-12,12:00:00,25.0
2020-01-12 15:00:00,20.13,2020-01-12,15:00:00,20.0
2020-01-12 18:00:00,18.75,2020-01-12,18:00:00,19.0
2020-01-12 21:00:00,18.36,2020-01-12,21:00:00,18.0
2020-01-13 00:00:00,18.57,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,15.05,2020-01-13,03:00:00,15.0
2020-01-13 06:00:00,15.78,2020-01-13,06:00:00,16.0
2020-01-13 09:00:00,15.31,2020-01-13,09:00:00,15.0
2020-01-13 12:00:00,14.01,2020-01-13,12:00:00,14.0
2020-01-13 15:00:00,11.7,2020-01-13,15:00:00,12.0
2020-01-13 18:00:00,11.02,2020-01-13,18:00:00,11.0
2020-01-13 21:00:00,9.97,2020-01-13,21:00:00,10.0
2020-01-14 00:00:00,8.12,2020-01-14,00:00:00,8.0
2020-01-14 03:00:00,10.64,2020-01-14,03:00:00,11.0
2020-01-14 06:00:00,16.06,2020-01-14,06:00:00,16.0
2020-01-14 09:00:00,18.94,2020-01-14,09:00:00,19.0
2020-01-14 12:00:00,18.44,2020-01-14,12:00:00,18.0
2020-01-14 15:00:00,14.79,2020-01-14,15:00:00,15.0
