date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,10.73,2020-01-09,18:00:00,11.0
2020-01-09 21:00:00,9.26,2020-01-09,21:00:00,9.0
2020-01-10 00:00:00,7.8,2020-01-10,00:00:00,8.0
2020-01-10 03:00:00,9.83,2020-01-10,03:00:00,10.0
2020-01-10 06:00:00,15.89,2020-01-10,06:00:00,16.0
2020-01-10 09:00:00,17.97,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,13.67,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,11.29,2020-01-10,15:00:00,11.0
2020-01-10 18:00:00,10.13,2020-01-10,18:00:00,10.0
2020-01-10 21:00:00,9.17,2020-01-10,21:00:00,9.0
2020-01-11 00:00:00,8.17,2020-01-11,00:00:00,8.0
2020-01-11 03:00:00,10.2,2020-01-11,03:00:00,10.0
2020-01-11 06:00:00,16.49,2020-01-11,06:00:00,16.0
2020-01-11 09:00:00,19.01,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,14.53,2020-01-11,12:00:00,15.0
2020-01-11 15:00:00,12.01,2020-01-11,15:00:00,12.0
2020-01-11 18:00:00,10.74,2020-01-11,18:00:00,11.0
2020-01-11 21:00:00,9.69,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,8.89,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,11.04,2020-01-12,03:00:00,11.0
2020-01-12 06:00:00,17.69,2020-01-12,06:00:00,18.0
2020-01-12 09:00:00,20.39,2020-01-12,09:00:00,20.0
2020-01-12 12:00:00,15.63,2020-01-12,12:00:00,16.0
2020-01-12 15:00:00,13.38,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,12.1,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.61,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,11.04,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,14.12,2020-01-13,03:00:00,14.0
2020-01-13 06:00:00,20.73,2020-01-13,06:00:00,21.0
2020-01-13 09:00:00,23.09,2020-01-13,09:00:00,23.0
2020-01-13 12:00:00,18.43,2020-01-13,12:00:00,18.0
2020-01-13 15:00:00,16.18,2020-01-13,15:00:00,16.0
2020-01-13 18:00:00,15.11,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,13.77,2020-01-13,21:00:00,14.0
2020-01-14 00:00:00,12.83,2020-01-14,00:00:00,13.0
2020-01-14 03:00:00,14.99,2020-01-14,03:00:00,15.0
2020-01-14 06:00:00,20.63,2020-01-14,06:00:00,21.0
2020-01-14 09:00:00,22.22,2020-01-14,09:00:00,22.0
2020-01-14 12:00:00,17.78,2020-01-14,12:00:00,18.0
2020-01-14 15:00:00,16.77,2020-01-14,15:00:00,17.0
