date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,15.98,2020-01-09,18:00:00,16.0
2020-01-09 21:00:00,15.62,2020-01-09,21:00:00,16.0
2020-01-10 00:00:00,15.14,2020-01-10,00:00:00,15.0
2020-01-10 03:00:00,19.66,2020-01-10,03:00:00,20.0
2020-01-10 06:00:00,24.0,2020-01-10,06:00:00,24.0
2020-01-10 09:00:00,25.59,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,21.78,2020-01-10,12:00:00,22.0
2020-01-10 15:00:00,19.27,2020-01-10,15:00:00,19.0
2020-01-10 18:00:00,16.84,2020-01-10,18:00:00,17.0
2020-01-10 21:00:00,15.16,2020-01-10,21:00:00,15.0
2020-01-11 00:00:00,13.98,2020-01-11,00:00:00,14.0
2020-01-11 03:00:00,18.19,2020-01-11,03:00:00,18.0
2020-01-11 06:00:00,22.86,2020-01-11,06:00:00,23.0
2020-01-11 09:00:00,24.57,2020-01-11,09:00:00,25.0
2020-01-11 12:00:00,20.24,2020-01-11,12:00:00,20.0
2020-01-11 15:00:00,18.05,2020-01-11,15:00:00,18.0
2020-01-11 18:00:00,16.71,2020-01-11,18:00:00,17.0
2020-01-11 21:00:00,14.99,2020-01-11,21:00:00,15.0
2020-01-12 00:00:00,13.66,2020-01-12,00:00:00,14.0
2020-01-12 03:00:00,18.41,2020-01-12,03:00:00,18.0
2020-01-12 06:00:00,23.35,2020-01-12,06:00:00,23.0
2020-01-12 09:00:00,25.54,2020-01-12,09:00:00,26.0
2020-01-12 12:00:00,21.05,2020-01-12,12:00:00,21.0
2020-01-12 15:00:00,18.99,2020-01-12,15:00:00,19.0
2020-01-12 18:00:00,17.08,2020-01-12,18:00:00,17.0
2020-01-12 21:00:00,15.42,2020-01-12,21:00:00,15.0
2020-01-13 00:00:00,13.91,2020-01-13,00:00:00,14.0
2020-01-13 03:00:00,18.74,2020-01-13,03:00:00,19.0
2020-01-13 06:00:00,23.94,2020-01-13,06:00:00,24.0
2020-01-13 09:00:00,25.61,2020-01-13,09:00:00,26.0
2020-01-13 12:00:00,20.73,2020-01-13,12:00:00,21.0
2020-01-13 15:00:00,18.6,2020-01-13,15:00:00,19.0
2020-01-13 18:00:00,17.53,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,15.97,2020-01-13,21:00:00,16.0
2020-01-14 00:00:00,14.69,2020-01-14,00:00:00,15.0
2020-01-14 03:00:00,19.59,2020-01-14,03:00:00,20.0
2020-01-14 06:00:00,25.08,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,27.49,2020-01-14,09:00:00,27.0
2020-01-14 12:00:00,23.29,2020-01-14,12:00:00,23.0
2020-01-14 15:00:00,20.68,2020-01-14,15:00:00,21.0
