date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,9.56,2020-01-09,18:00:00,10.0
2020-01-09 21:00:00,7.41,2020-01-09,21:00:00,7.0
2020-01-10 00:00:00,5.81,2020-01-10,00:00:00,6.0
2020-01-10 03:00:00,8.28,2020-01-10,03:00:00,8.0
2020-01-10 06:00:00,15.41,2020-01-10,06:00:00,15.0
2020-01-10 09:00:00,19.01,2020-01-10,09:00:00,19.0
2020-01-10 12:00:00,15.49,2020-01-10,12:00:00,15.0
2020-01-10 15:00:00,11.18,2020-01-10,15:00:00,11.0
2020-01-10 18:00:00,8.62,2020-01-10,18:00:00,9.0
2020-01-10 21:00:00,7.09,2020-01-10,21:00:00,7.0
2020-01-11 00:00:00,5.95,2020-01-11,00:00:00,6.0
2020-01-11 03:00:00,9.01,2020-01-11,03:00:00,9.0
2020-01-11 06:00:00,16.38,2020-01-11,06:00:00,16.0
2020-01-11 09:00:00,20.27,2020-01-11,09:00:00,20.0
2020-01-11 12:00:00,17.18,2020-01-11,12:00:00,17.0
2020-01-11 15:00:00,13.07,2020-01-11,15:00:00,13.0
2020-01-11 18:00:00,11.13,2020-01-11,18:00:00,11.0
2020-01-11 21:00:00,9.74,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,8.97,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,12.1,2020-01-12,03:00:00,12.0
2020-01-12 06:00:00,19.69,2020-01-12,06:00:00,20.0
2020-01-12 09:00:00,24.68,2020-01-12,09:00:00,25.0
2020-01-12 12:00:00,21.48,2020-01-12,12:00:00,21.0
2020-01-12 15:00:00,17.51,2020-01-12,15:00:00,18.0
2020-01-12 18:00:00,16.59,2020-01-12,18:00:00,17.0
2020-01-12 21:00:00,15.76,2020-01-12,21:00:00,16.0
2020-01-13 00:00:00,15.45,2020-01-13,00:00:00,15.0
2020-01-13 03:00:00,17.62,2020-01-13,03:00:00,18.0
2020-01-13 06:00:00,26.59,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,29.27,2020-01-13,09:00:00,29.0
2020-01-13 12:00:00,24.71,2020-01-13,12:00:00,25.0
2020-01-13 15:00:00,19.35,2020-01-13,15:00:00,19.0
2020-01-13 18:00:00,15.19,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,13.07,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,10.98,2020-01-14,00:00:00,11.0
2020-01-14 03:00:00,12.69,2020-01-14,03:00:00,13.0
2020-01-14 06:00:00,18.42,2020-01-14,06:00:00,18.0
2020-01-14 09:00:00,20.83,2020-01-14,09:00:00,21.0
2020-01-14 12:00:00,18.87,2020-01-14,12:00:00,19.0
2020-01-14 15:00:00,15.37,2020-01-14,15:00:00,15.0
