date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,10.89,2020-01-09,18:00:00,11.0
2020-01-09 21:00:00,9.38,2020-01-09,21:00:00,9.0
2020-01-10 00:00:00,8.02,2020-01-10,00:00:00,8.0
2020-01-10 03:00:00,10.13,2020-01-10,03:00:00,10.0
2020-01-10 06:00:00,16.55,2020-01-10,06:00:00,17.0
2020-01-10 09:00:00,18.5,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,14.29,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,11.84,2020-01-10,15:00:00,12.0
2020-01-10 18:00:00,10.79,2020-01-10,18:00:00,11.0
2020-01-10 21:00:00,9.71,2020-01-10,21:00:00,10.0
2020-01-11 00:00:00,8.61,2020-01-11,00:00:00,9.0
2020-01-11 03:00:00,10.63,2020-01-11,03:00:00,11.0
2020-01-11 06:00:00,16.8,2020-01-11,06:00:00,17.0
2020-01-11 09:00:00,19.39,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,14.55,2020-01-11,12:00:00,15.0
2020-01-11 15:00:00,12.17,2020-01-11,15:00:00,12.0
2020-01-11 18:00:00,10.91,2020-01-11,18:00:00,11.0
2020-01-11 21:00:00,9.82,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,8.83,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,11.02,2020-01-12,03:00:00,11.0
2020-01-12 06:00:00,17.33,2020-01-12,06:00:00,17.0
2020-01-12 09:00:00,20.17,2020-01-12,09:00:00,20.0
2020-01-12 12:00:00,15.42,2020-01-12,12:00:00,15.0
2020-01-12 15:00:00,13.02,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,12.02,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.21,2020-01-12,21:00:00,11.0
2020-01-13 00:00:00,10.53,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,13.35,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,19.79,2020-01-13,06:00:00,20.0
2020-01-13 09:00:00,22.36,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,17.86,2020-01-13,12:00:00,18.0
2020-01-13 15:00:00,15.94,2020-01-13,15:00:00,16.0
2020-01-13 18:00:00,14.73,2020-01-13,18:00:00,15.0
2020-01-13 21:00:00,13.42,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,12.43,2020-01-14,00:00:00,12.0
2020-01-14 03:00:00,14.46,2020-01-14,03:00:00,14.0
2020-01-14 06:00:00,18.0,2020-01-14,06:00:00,18.0
2020-01-14 09:00:00,20.87,2020-01-14,09:00:00,21.0
2020-01-14 12:00:00,17.48,2020-01-14,12:00:00,17.0
2020-01-14 15:00:00,17.56,2020-01-14,15:00:00,18.0
