date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,7.02,2020-01-09,18:00:00,7.0
2020-01-09 21:00:00,6.14,2020-01-09,21:00:00,6.0
2020-01-10 00:00:00,4.94,2020-01-10,00:00:00,5.0
2020-01-10 03:00:00,5.55,2020-01-10,03:00:00,6.0
2020-01-10 06:00:00,13.38,2020-01-10,06:00:00,13.0
2020-01-10 09:00:00,15.9,2020-01-10,09:00:00,16.0
2020-01-10 12:00:00,11.32,2020-01-10,12:00:00,11.0
2020-01-10 15:00:00,8.73,2020-01-10,15:00:00,9.0
2020-01-10 18:00:00,7.36,2020-01-10,18:00:00,7.0
2020-01-10 21:00:00,6.68,2020-01-10,21:00:00,7.0
2020-01-11 00:00:00,5.62,2020-01-11,00:00:00,6.0
2020-01-11 03:00:00,6.94,2020-01-11,03:00:00,7.0
2020-01-11 06:00:00,13.96,2020-01-11,06:00:00,14.0
2020-01-11 09:00:00,16.1,2020-01-11,09:00:00,16.0
2020-01-11 12:00:00,11.35,2020-01-11,12:00:00,11.0
2020-01-11 15:00:00,8.79,2020-01-11,15:00:00,9.0
2020-01-11 18:00:00,8.18,2020-01-11,18:00:00,8.0
2020-01-11 21:00:00,8.49,2020-01-11,21:00:00,8.0
2020-01-12 00:00:00,8.97,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,9.03,2020-01-12,03:00:00,9.0
2020-01-12 06:00:00,15.92,2020-01-12,06:00:00,16.0
2020-01-12 09:00:00,18.55,2020-01-12,09:00:00,19.0
2020-01-12 12:00:00,14.47,2020-01-12,12:00:00,14.0
2020-01-12 15:00:00,12.23,2020-01-12,15:00:00,12.0
2020-01-12 18:00:00,12.12,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.67,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,11.62,2020-01-13,00:00:00,12.0
2020-01-13 03:00:00,11.99,2020-01-13,03:00:00,12.0
2020-01-13 06:00:00,15.11,2020-01-13,06:00:00,15.0
2020-01-13 09:00:00,15.69,2020-01-13,09:00:00,16.0
2020-01-13 12:00:00,12.52,2020-01-13,12:00:00,13.0
2020-01-13 15:00:00,11.17,2020-01-13,15:00:00,11.0
2020-01-13 18:00:00,11.47,2020-01-13,18:00:00,11.0
2020-01-13 21:00:00,9.56,2020-01-13,21:00:00,10.0
2020-01-14 00:00:00,8.17,2020-01-14,00:00:00,8.0
2020-01-14 03:00:00,9.93,2020-01-14,03:00:00,10.0
2020-01-14 06:00:00,15.0,2020-01-14,06:00:00,15.0
2020-01-14 09:00:00,17.34,2020-01-14,09:00:00,17.0
2020-01-14 12:00:00,13.52,2020-01-14,12:00:00,14.0
2020-01-14 15:00:00,10.37,2020-01-14,15:00:00,10.0
