date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,23.0,2020-01-09,18:00:00,23.0
2020-01-09 21:00:00,21.48,2020-01-09,21:00:00,21.0
2020-01-10 00:00:00,20.57,2020-01-10,00:00:00,21.0
2020-01-10 03:00:00,23.16,2020-01-10,03:00:00,23.0
2020-01-10 06:00:00,27.39,2020-01-10,06:00:00,27.0
2020-01-10 09:00:00,29.54,2020-01-10,09:00:00,30.0
2020-01-10 12:00:00,26.83,2020-01-10,12:00:00,27.0
2020-01-10 15:00:00,22.61,2020-01-10,15:00:00,23.0
2020-01-10 18:00:00,20.61,2020-01-10,18:00:00,21.0
2020-01-10 21:00:00,19.4,2020-01-10,21:00:00,19.0
2020-01-11 00:00:00,18.77,2020-01-11,00:00:00,19.0
2020-01-11 03:00:00,21.74,2020-01-11,03:00:00,22.0
2020-01-11 06:00:00,26.25,2020-01-11,06:00:00,26.0
2020-01-11 09:00:00,28.86,2020-01-11,09:00:00,29.0
2020-01-11 12:00:00,26.24,2020-01-11,12:00:00,26.0
2020-01-11 15:00:00,22.38,2020-01-11,15:00:00,22.0
2020-01-11 18:00:00,20.52,2020-01-11,18:00:00,21.0
2020-01-11 21:00:00,19.23,2020-01-11,21:00:00,19.0
2020-01-12 00:00:00,18.04,2020-01-12,00:00:00,18.0
2020-01-12 03:00:00,21.96,2020-01-12,03:00:00,22.0
2020-01-12 06:00:00,27.03,2020-01-12,06:00:00,27.0
2020-01-12 09:00:00,29.01,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,27.17,2020-01-12,12:00:00,27.0
2020-01-12 15:00:00,22.82,2020-01-12,15:00:00,23.0
2020-01-12 18:00:00,21.29,2020-01-12,18:00:00,21.0
2020-01-12 21:00:00,20.29,2020-01-12,21:00:00,20.0
2020-01-13 00:00:00,19.4,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,22.5,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,26.94,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,29.64,2020-01-13,09:00:00,30.0
2020-01-13 12:00:00,28.42,2020-01-13,12:00:00,28.0
2020-01-13 15:00:00,23.81,2020-01-13,15:00:00,24.0
2020-01-13 18:00:00,21.65,2020-01-13,18:00:00,22.0
2020-01-13 21:00:00,20.75,2020-01-13,21:00:00,21.0
2020-01-14 00:00:00,20.22,2020-01-14,00:00:00,20.0
2020-01-14 03:00:00,22.49,2020-01-14,03:00:00,22.0
2020-01-14 06:00:00,27.04,2020-01-14,06:00:00,27.0
2020-01-14 09:00:00,29.9,2020-01-14,09:00:00,30.0
2020-01-14 12:00:00,28.59,2020-01-14,12:00:00,29.0
2020-01-14 15:00:00,23.65,2020-01-14,15:00:00,24.0
