date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,8.23,2020-01-09,18:00:00,8.0
2020-01-09 21:00:00,7.17,2020-01-09,21:00:00,7.0
2020-01-10 00:00:00,5.98,2020-01-10,00:00:00,6.0
2020-01-10 03:00:00,7.54,2020-01-10,03:00:00,8.0
2020-01-10 06:00:00,15.13,2020-01-10,06:00:00,15.0
2020-01-10 09:00:00,17.75,2020-01-10,09:00:00,18.0
2020-01-10 12:00:00,12.92,2020-01-10,12:00:00,13.0
2020-01-10 15:00:00,9.63,2020-01-10,15:00:00,10.0
2020-01-10 18:00:00,8.09,2020-01-10,18:00:00,8.0
2020-01-10 21:00:00,6.97,2020-01-10,21:00:00,7.0
2020-01-11 00:00:00,6.23,2020-01-11,00:00:00,6.0
2020-01-11 03:00:00,7.96,2020-01-11,03:00:00,8.0
2020-01-11 06:00:00,15.64,2020-01-11,06:00:00,16.0
2020-01-11 09:00:00,18.59,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,13.48,2020-01-11,12:00:00,13.0
2020-01-11 15:00:00,10.29,2020-01-11,15:00:00,10.0
2020-01-11 18:00:00,9.22,2020-01-11,18:00:00,9.0
2020-01-11 21:00:00,8.3,2020-01-11,21:00:00,8.0
2020-01-12 00:00:00,8.04,2020-01-12,00:00:00,8.0
2020-01-12 03:00:00,9.45,2020-01-12,03:00:00,9.0
2020-01-12 06:00:00,16.99,2020-01-12,06:00:00,17.0
2020-01-12 09:00:00,20.61,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,15.87,2020-01-12,12:00:00,16.0
2020-01-12 15:00:00,12.82,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,12.14,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.64,2020-01-12,21:00:00,12.0
2020-01-13 00:00:00,11.32,2020-01-13,00:00:00,11.0
2020-01-13 03:00:00,12.95,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,20.58,2020-01-13,06:00:00,21.0
2020-01-13 09:00:00,22.23,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,16.65,2020-01-13,12:00:00,17.0
2020-01-13 15:00:00,14.6,2020-01-13,15:00:00,15.0
2020-01-13 18:00:00,13.76,2020-01-13,18:00:00,14.0
2020-01-13 21:00:00,12.92,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,11.35,2020-01-14,00:00:00,11.0
2020-01-14 03:00:00,12.16,2020-01-14,03:00:00,12.0
2020-01-14 06:00:00,16.76,2020-01-14,06:00:00,17.0
2020-01-14 09:00:00,19.24,2020-01-14,09:00:00,19.0
2020-01-14 12:00:00,16.16,2020-01-14,12:00:00,16.0
2020-01-14 15:00:00,12.85,2020-01-14,15:00:00,13.0
