date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,22.25,2020-01-09,18:00:00,22.0
2020-01-09 21:00:00,20.44,2020-01-09,21:00:00,20.0
2020-01-10 00:00:00,20.1,2020-01-10,00:00:00,20.0
2020-01-10 03:00:00,21.23,2020-01-10,03:00:00,21.0
2020-01-10 06:00:00,27.89,2020-01-10,06:00:00,28.0
2020-01-10 09:00:00,29.98,2020-01-10,09:00:00,30.0
2020-01-10 12:00:00,28.99,2020-01-10,12:00:00,29.0
2020-01-10 15:00:00,25.84,2020-01-10,15:00:00,26.0
2020-01-10 18:00:00,24.89,2020-01-10,18:00:00,25.0
2020-01-10 21:00:00,24.01,2020-01-10,21:00:00,24.0
2020-01-11 00:00:00,23.05,2020-01-11,00:00:00,23.0
2020-01-11 03:00:00,23.64,2020-01-11,03:00:00,24.0
2020-01-11 06:00:00,29.42,2020-01-11,06:00:00,29.0
2020-01-11 09:00:00,31.67,2020-01-11,09:00:00,32.0
2020-01-11 12:00:00,27.77,2020-01-11,12:00:00,28.0
2020-01-11 15:00:00,26.24,2020-01-11,15:00:00,26.0
2020-01-11 18:00:00,25.44,2020-01-11,18:00:00,25.0
2020-01-11 21:00:00,24.01,2020-01-11,21:00:00,24.0
2020-01-12 00:00:00,23.24,2020-01-12,00:00:00,23.0
2020-01-12 03:00:00,24.09,2020-01-12,03:00:00,24.0
2020-01-12 06:00:00,29.59,2020-01-12,06:00:00,30.0
2020-01-12 09:00:00,28.71,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,27.13,2020-01-12,12:00:00,27.0
2020-01-12 15:00:00,24.94,2020-01-12,15:00:00,25.0
2020-01-12 18:00:00,24.41,2020-01-12,18:00:00,24.0
2020-01-12 21:00:00,23.37,2020-01-12,21:00:00,23.0
2020-01-13 00:00:00,22.21,2020-01-13,00:00:00,22.0
2020-01-13 03:00:00,23.06,2020-01-13,03:00:00,23.0
2020-01-13 06:00:00,26.95,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,26.67,2020-01-13,09:00:00,27.0
2020-01-13 12:00:00,25.61,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,24.36,2020-01-13,15:00:00,24.0
2020-01-13 18:00:00,24.42,2020-01-13,18:00:00,24.0
2020-01-13 21:00:00,22.77,2020-01-13,21:00:00,23.0
2020-01-14 00:00:00,20.98,2020-01-14,00:00:00,21.0
2020-01-14 03:00:00,21.37,2020-01-14,03:00:00,21.0
2020-01-14 06:00:00,25.02,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,26.42,2020-01-14,09:00:00,26.0
2020-01-14 12:00:00,26.15,2020-01-14,12:00:00,26.0
2020-01-14 15:00:00,23.52,2020-01-14,15:00:00,24.0
