date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,13.76,2020-01-09,18:00:00,14.0
2020-01-09 21:00:00,12.47,2020-01-09,21:00:00,12.0
2020-01-10 00:00:00,11.33,2020-01-10,00:00:00,11.0
2020-01-10 03:00:00,13.56,2020-01-10,03:00:00,14.0
2020-01-10 06:00:00,18.99,2020-01-10,06:00:00,19.0
2020-01-10 09:00:00,20.24,2020-01-10,09:00:00,20.0
2020-01-10 12:00:00,15.93,2020-01-10,12:00:00,16.0
2020-01-10 15:00:00,13.58,2020-01-10,15:00:00,14.0
2020-01-10 18:00:00,12.05,2020-01-10,18:00:00,12.0
2020-01-10 21:00:00,10.87,2020-01-10,21:00:00,11.0
2020-01-11 00:00:00,9.74,2020-01-11,00:00:00,10.0
2020-01-11 03:00:00,12.57,2020-01-11,03:00:00,13.0
2020-01-11 06:00:00,18.43,2020-01-11,06:00:00,18.0
2020-01-11 09:00:00,20.24,2020-01-11,09:00:00,20.0
2020-01-11 12:00:00,15.59,2020-01-11,12:00:00,16.0
2020-01-11 15:00:00,13.42,2020-01-11,15:00:00,13.0
2020-01-11 18:00:00,11.99,2020-01-11,18:00:00,12.0
2020-01-11 21:00:00,10.81,2020-01-11,21:00:00,11.0
2020-01-12 00:00:00,9.74,2020-01-12,00:00:00,10.0
2020-01-12 03:00:00,13.08,2020-01-12,03:00:00,13.0
2020-01-12 06:00:00,19.25,2020-01-12,06:00:00,19.0
2020-01-12 09:00:00,20.77,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,15.78,2020-01-12,12:00:00,16.0
2020-01-12 15:00:00,13.7,2020-01-12,15:00:00,14.0
2020-01-12 18:00:00,12.35,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,11.19,2020-01-12,21:00:00,11.0
2020-01-13 00:00:00,10.01,2020-01-13,00:00:00,10.0
2020-01-13 03:00:00,13.43,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,19.2,2020-01-13,06:00:00,19.0
2020-01-13 09:00:00,21.4,2020-01-13,09:00:00,21.0
2020-01-13 12:00:00,16.55,2020-01-13,12:00:00,17.0
2020-01-13 15:00:00,14.66,2020-01-13,15:00:00,15.0
2020-01-13 18:00:00,13.77,2020-01-13,18:00:00,14.0
2020-01-13 21:00:00,12.88,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,11.95,2020-01-14,00:00:00,12.0
2020-01-14 03:00:00,16.3,2020-01-14,03:00:00,16.0
2020-01-14 06:00:00,22.51,2020-01-14,06:00:00,23.0
2020-01-14 09:00:00,24.34,2020-01-14,09:00:00,24.0
2020-01-14 12:00:00,19.38,2020-01-14,12:00:00,19.0
2020-01-14 15:00:00,17.37,2020-01-14,15:00:00,17.0
