date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,19.51,2020-01-09,18:00:00,20.0
2020-01-09 21:00:00,17.63,2020-01-09,21:00:00,18.0
2020-01-10 00:00:00,16.09,2020-01-10,00:00:00,16.0
2020-01-10 03:00:00,17.37,2020-01-10,03:00:00,17.0
2020-01-10 06:00:00,23.17,2020-01-10,06:00:00,23.0
2020-01-10 09:00:00,26.84,2020-01-10,09:00:00,27.0
2020-01-10 12:00:00,26.65,2020-01-10,12:00:00,27.0
2020-01-10 15:00:00,22.41,2020-01-10,15:00:00,22.0
2020-01-10 18:00:00,19.92,2020-01-10,18:00:00,20.0
2020-01-10 21:00:00,18.33,2020-01-10,21:00:00,18.0
2020-01-11 00:00:00,17.08,2020-01-11,00:00:00,17.0
2020-01-11 03:00:00,18.54,2020-01-11,03:00:00,19.0
2020-01-11 06:00:00,24.54,2020-01-11,06:00:00,25.0
2020-01-11 09:00:00,28.04,2020-01-11,09:00:00,28.0
2020-01-11 12:00:00,27.9,2020-01-11,12:00:00,28.0
2020-01-11 15:00:00,23.29,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,21.4,2020-01-11,18:00:00,21.0
2020-01-11 21:00:00,19.23,2020-01-11,21:00:00,19.0
2020-01-12 00:00:00,17.67,2020-01-12,00:00:00,18.0
2020-01-12 03:00:00,19.69,2020-01-12,03:00:00,20.0
2020-01-12 06:00:00,25.48,2020-01-12,06:00:00,25.0
2020-01-12 09:00:00,28.45,2020-01-12,09:00:00,28.0
2020-01-12 12:00:00,28.2,2020-01-12,12:00:00,28.0
2020-01-12 15:00:00,23.13,2020-01-12,15:00:00,23.0
2020-01-12 18:00:00,20.49,2020-01-12,18:00:00,20.0
2020-01-12 21:00:00,18.58,2020-01-12,21:00:00,19.0
2020-01-13 00:00:00,17.2,2020-01-13,00:00:00,17.0
2020-01-13 03:00:00,21.24,2020-01-13,03:00:00,21.0
2020-01-13 06:00:00,26.36,2020-01-13,06:00:00,26.0
2020-01-13 09:00:00,29.24,2020-01-13,09:00:00,29.0
2020-01-13 12:00:00,27.66,2020-01-13,12:00:00,28.0
2020-01-13 15:00:00,21.91,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,19.85,2020-01-13,18:00:00,20.0
2020-01-13 21:00:00,19.71,2020-01-13,21:00:00,20.0
2020-01-14 00:00:00,17.36,2020-01-14,00:00:00,17.0
2020-01-14 03:00:00,18.36,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,23.68,2020-01-14,06:00:00,24.0
2020-01-14 09:00:00,27.4,2020-01-14,09:00:00,27.0
2020-01-14 12:00:00,27.32,2020-01-14,12:00:00,27.0
2020-01-14 15:00:00,21.87,2020-01-14,15:00:00,22.0
