date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,16.78,2020-01-09,18:00:00,17.0
2020-01-09 21:00:00,14.49,2020-01-09,21:00:00,14.0
2020-01-10 00:00:00,12.72,2020-01-10,00:00:00,13.0
2020-01-10 03:00:00,14.26,2020-01-10,03:00:00,14.0
2020-01-10 06:00:00,19.8,2020-01-10,06:00:00,20.0
2020-01-10 09:00:00,22.46,2020-01-10,09:00:00,22.0
2020-01-10 12:00:00,19.29,2020-01-10,12:00:00,19.0
2020-01-10 15:00:00,17.22,2020-01-10,15:00:00,17.0
2020-01-10 18:00:00,14.86,2020-01-10,18:00:00,15.0
2020-01-10 21:00:00,12.85,2020-01-10,21:00:00,13.0
2020-01-11 00:00:00,11.24,2020-01-11,00:00:00,11.0
2020-01-11 03:00:00,14.01,2020-01-11,03:00:00,14.0
2020-01-11 06:00:00,19.94,2020-01-11,06:00:00,20.0
2020-01-11 09:00:00,23.08,2020-01-11,09:00:00,23.0
2020-01-11 12:00:00,19.47,2020-01-11,12:00:00,19.0
2020-01-11 15:00:00,17.0,2020-01-11,15:00:00,17.0
2020-01-11 18:00:00,15.28,2020-01-11,18:00:00,15.0
2020-01-11 21:00:00,13.57,2020-01-11,21:00:00,14.0
2020-01-12 00:00:00,12.35,2020-01-12,00:00:00,12.0
2020-01-12 03:00:00,15.46,2020-01-12,03:00:00,15.0
2020-01-12 06:00:00,22.1,2020-01-12,06:00:00,22.0
2020-01-12 09:00:00,24.54,2020-01-12,09:00:00,25.0
2020-01-12 12:00:00,20.72,2020-01-12,12:00:00,21.0
2020-01-12 15:00:00,18.5,2020-01-12,15:00:00,18.0
2020-01-12 18:00:00,16.74,2020-01-12,18:00:00,17.0
2020-01-12 21:00:00,15.0,2020-01-12,21:00:00,15.0
2020-01-13 00:00:00,13.72,2020-01-13,00:00:00,14.0
2020-01-13 03:00:00,17.15,2020-01-13,03:00:00,17.0
2020-01-13 06:00:00,24.08,2020-01-13,06:00:00,24.0
2020-01-13 09:00:00,27.15,2020-01-13,09:00:00,27.0
2020-01-13 12:00:00,22.97,2020-01-13,12:00:00,23.0
2020-01-13 15:00:00,20.35,2020-01-13,15:00:00,20.0
2020-01-13 18:00:00,17.66,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,16.58,2020-01-13,21:00:00,17.0
2020-01-14 00:00:00,15.51,2020-01-14,00:00:00,16.0
2020-01-14 03:00:00,18.56,2020-01-14,03:00:00,19.0
2020-01-14 06:00:00,25.99,2020-01-14,06:00:00,26.0
2020-01-14 09:00:00,28.91,2020-01-14,09:00:00,29.0
2020-01-14 12:00:00,24.65,2020-01-14,12:00:00,25.0
2020-01-14 15:00:00,21.95,2020-01-14,15:00:00,22.0
