date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,13.34,2020-01-09,18:00:00,13.0
2020-01-09 21:00:00,12.68,2020-01-09,21:00:00,13.0
2020-01-10 00:00:00,11.01,2020-01-10,00:00:00,11.0
2020-01-10 03:00:00,12.13,2020-01-10,03:00:00,12.0
2020-01-10 06:00:00,20.72,2020-01-10,06:00:00,21.0
2020-01-10 09:00:00,25.16,2020-01-10,09:00:00,25.0
2020-01-10 12:00:00,23.39,2020-01-10,12:00:00,23.0
2020-01-10 15:00:00,17.24,2020-01-10,15:00:00,17.0
2020-01-10 18:00:00,15.9,2020-01-10,18:00:00,16.0
2020-01-10 21:00:00,14.57,2020-01-10,21:00:00,15.0
2020-01-11 00:00:00,13.42,2020-01-11,00:00:00,13.0
2020-01-11 03:00:00,14.64,2020-01-11,03:00:00,15.0
2020-01-11 06:00:00,24.28,2020-01-11,06:00:00,24.0
2020-01-11 09:00:00,29.09,2020-01-11,09:00:00,29.0
2020-01-11 12:00:00,28.77,2020-01-11,12:00:00,29.0
2020-01-11 15:00:00,22.72,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,19.73,2020-01-11,18:00:00,20.0
2020-01-11 21:00:00,17.87,2020-01-11,21:00:00,18.0
2020-01-12 00:00:00,16.13,2020-01-12,00:00:00,16.0
2020-01-12 03:00:00,20.87,2020-01-12,03:00:00,21.0
2020-01-12 06:00:00,26.82,2020-01-12,06:00:00,27.0
2020-01-12 09:00:00,30.36,2020-01-12,09:00:00,30.0
2020-01-12 12:00:00,29.63,2020-01-12,12:00:00,30.0
2020-01-12 15:00:00,20.28,2020-01-12,15:00:00,20.0
2020-01-12 18:00:00,19.08,2020-01-12,18:00:00,19.0
2020-01-12 21:00:00,18.01,2020-01-12,21:00:00,18.0
2020-01-13 00:00:00,17.43,2020-01-13,00:00:00,17.0
2020-01-13 03:00:00,19.36,2020-01-13,03:00:00,19.0
2020-01-13 06:00:00,18.45,2020-01-13,06:00:00,18.0
2020-01-13 09:00:00,18.97,2020-01-13,09:00:00,19.0
2020-01-13 12:00:00,20.91,2020-01-13,12:00:00,21.0
2020-01-13 15:00:00,15.18,2020-01-13,15:00:00,15.0
2020-01-13 18:00:00,12.15,2020-01-13,18:00:00,12.0
2020-01-13 21:00:00,12.43,2020-01-13,21:00:00,12.0
2020-01-14 00:00:00,10.98,2020-01-14,00:00:00,11.0
2020-01-14 03:00:00,13.75,2020-01-14,03:00:00,14.0
2020-01-14 06:00:00,19.48,2020-01-14,06:00:00,19.0
2020-01-14 09:00:00,22.82,2020-01-14,09:00:00,23.0
2020-01-14 12:00:00,22.01,2020-01-14,12:00:00,22.0
2020-01-14 15:00:00,14.87,2020-01-14,15:00:00,15.0
