date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,-4.09,2020-01-09,18:00:00,-4.0
2020-01-09 21:00:00,-5.0,2020-01-09,21:00:00,-5.0
2020-01-10 00:00:00,-5.84,2020-01-10,00:00:00,-6.0
2020-01-10 03:00:00,-4.92,2020-01-10,03:00:00,-5.0
2020-01-10 06:00:00,-0.62,2020-01-10,06:00:00,-1.0
2020-01-10 09:00:00,1.74,2020-01-10,09:00:00,2.0
2020-01-10 12:00:00,-2.29,2020-01-10,12:00:00,-2.0
2020-01-10 15:00:00,-3.6,2020-01-10,15:00:00,-4.0
2020-01-10 18:00:00,-3.96,2020-01-10,18:00:00,-4.0
2020-01-10 21:00:00,-3.99,2020-01-10,21:00:00,-4.0
2020-01-11 00:00:00,-4.36,2020-01-11,00:00:00,-4.0
2020-01-11 03:00:00,-3.46,2020-01-11,03:00:00,-3.0
2020-01-11 06:00:00,0.45,2020-01-11,06:00:00,0.0
2020-01-11 09:00:00,3.02,2020-01-11,09:00:00,3.0
2020-01-11 12:00:00,-0.06,2020-01-11,12:00:00,-0.0
2020-01-11 15:00:00,-0.5,2020-01-11,15:00:00,-0.0
2020-01-11 18:00:00,-0.39,2020-01-11,18:00:00,-0.0
2020-01-11 21:00:00,-0.31,2020-01-11,21:00:00,-0.0
2020-01-12 00:00:00,-0.54,2020-01-12,00:00:00,-1.0
2020-01-12 03:00:00,-0.12,2020-01-12,03:00:00,-0.0
2020-01-12 06:00:00,-0.3,2020-01-12,06:00:00,-0.0
2020-01-12 09:00:00,0.87,2020-01-12,09:00:00,1.0
2020-01-12 12:00:00,0.79,2020-01-12,12:00:00,1.0
2020-01-12 15:00:00,1.34,2020-01-12,15:00:00,1.0
2020-01-12 18:00:00,2.48,2020-01-12,18:00:00,2.0
2020-01-12 21:00:00,2.74,2020-01-12,21:00:00,3.0
2020-01-13 00:00:00,2.85,2020-01-13,00:00:00,3.0
2020-01-13 03:00:00,3.42,2020-01-13,03:00:00,3.0
2020-01-13 06:00:00,3.44,2020-01-13,06:00:00,3.0
2020-01-13 09:00:00,1.02,2020-01-13,09:00:00,1.0
2020-01-13 12:00:00,0.48,2020-01-13,12:00:00,0.0
2020-01-13 15:00:00,0.05,2020-01-13,15:00:00,0.0
2020-01-13 18:00:00,-0.25,2020-01-13,18:00:00,-0.0
2020-01-13 21:00:00,-0.34,2020-01-13,21:00:00,-0.0
2020-01-14 00:00:00,-0.52,2020-01-14,00:00:00,-1.0
2020-01-14 03:00:00,-1.02,2020-01-14,03:00:00,-1.0
2020-01-14 06:00:00,0.33,2020-01-14,06:00:00,0.0
2020-01-14 09:00:00,0.34,2020-01-14,09:00:00,0.0
2020-01-14 12:00:00,-1.34,2020-01-14,12:00:00,-1.0
2020-01-14 15:00:00,-2.39,2020-01-14,15:00:00,-2.0
