date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,15.67,2020-01-09,18:00:00,16.0
2020-01-09 21:00:00,15.7,2020-01-09,21:00:00,16.0
2020-01-10 00:00:00,16.41,2020-01-10,00:00:00,16.0
2020-01-10 03:00:00,17.81,2020-01-10,03:00:00,18.0
2020-01-10 06:00:00,27.12,2020-01-10,06:00:00,27.0
2020-01-10 09:00:00,30.8,2020-01-10,09:00:00,31.0
2020-01-10 12:00:00,28.48,2020-01-10,12:00:00,28.0
2020-01-10 15:00:00,23.55,2020-01-10,15:00:00,24.0
2020-01-10 18:00:00,21.56,2020-01-10,18:00:00,22.0
2020-01-10 21:00:00,19.34,2020-01-10,21:00:00,19.0
2020-01-11 00:00:00,17.96,2020-01-11,00:00:00,18.0
2020-01-11 03:00:00,19.66,2020-01-11,03:00:00,20.0
2020-01-11 06:00:00,29.42,2020-01-11,06:00:00,29.0
2020-01-11 09:00:00,33.62,2020-01-11,09:00:00,34.0
2020-01-11 12:00:00,29.69,2020-01-11,12:00:00,30.0
2020-01-11 15:00:00,25.04,2020-01-11,15:00:00,25.0
2020-01-11 18:00:00,22.65,2020-01-11,18:00:00,23.0
2020-01-11 21:00:00,20.53,2020-01-11,21:00:00,21.0
2020-01-12 00:00:00,19.83,2020-01-12,00:00:00,20.0
2020-01-12 03:00:00,22.02,2020-01-12,03:00:00,22.0
2020-01-12 06:00:00,31.29,2020-01-12,06:00:00,31.0
2020-01-12 09:00:00,32.73,2020-01-12,09:00:00,33.0
2020-01-12 12:00:00,27.73,2020-01-12,12:00:00,28.0
2020-01-12 15:00:00,23.03,2020-01-12,15:00:00,23.0
2020-01-12 18:00:00,21.39,2020-01-12,18:00:00,21.0
2020-01-12 21:00:00,20.74,2020-01-12,21:00:00,21.0
2020-01-13 00:00:00,20.43,2020-01-13,00:00:00,20.0
2020-01-13 03:00:00,22.45,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,26.6,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,27.05,2020-01-13,09:00:00,27.0
2020-01-13 12:00:00,24.69,2020-01-13,12:00:00,25.0
2020-01-13 15:00:00,21.49,2020-01-13,15:00:00,21.0
2020-01-13 18:00:00,18.92,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,17.12,2020-01-13,21:00:00,17.0
2020-01-14 00:00:00,16.29,2020-01-14,00:00:00,16.0
2020-01-14 03:00:00,18.03,2020-01-14,03:00:00,18.0
2020-01-14 06:00:00,24.2,2020-01-14,06:00:00,24.0
2020-01-14 09:00:00,26.89,2020-01-14,09:00:00,27.0
2020-01-14 12:00:00,24.95,2020-01-14,12:00:00,25.0
2020-01-14 15:00:00,20.31,2020-01-14,15:00:00,20.0
