date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,15.25,2020-01-09,18:00:00,15.0
2020-01-09 21:00:00,13.95,2020-01-09,21:00:00,14.0
2020-01-10 00:00:00,13.13,2020-01-10,00:00:00,13.0
2020-01-10 03:00:00,13.64,2020-01-10,03:00:00,14.0
2020-01-10 06:00:00,21.71,2020-01-10,06:00:00,22.0
2020-01-10 09:00:00,25.95,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,23.68,2020-01-10,12:00:00,24.0
2020-01-10 15:00:00,18.7,2020-01-10,15:00:00,19.0
2020-01-10 18:00:00,16.42,2020-01-10,18:00:00,16.0
2020-01-10 21:00:00,14.95,2020-01-10,21:00:00,15.0
2020-01-11 00:00:00,14.56,2020-01-11,00:00:00,15.0
2020-01-11 03:00:00,15.42,2020-01-11,03:00:00,15.0
2020-01-11 06:00:00,23.79,2020-01-11,06:00:00,24.0
2020-01-11 09:00:00,28.53,2020-01-11,09:00:00,29.0
2020-01-11 12:00:00,27.12,2020-01-11,12:00:00,27.0
2020-01-11 15:00:00,22.7,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,20.41,2020-01-11,18:00:00,20.0
2020-01-11 21:00:00,19.04,2020-01-11,21:00:00,19.0
2020-01-12 00:00:00,18.17,2020-01-12,00:00:00,18.0
2020-01-12 03:00:00,19.31,2020-01-12,03:00:00,19.0
2020-01-12 06:00:00,27.15,2020-01-12,06:00:00,27.0
2020-01-12 09:00:00,30.82,2020-01-12,09:00:00,31.0
2020-01-12 12:00:00,29.36,2020-01-12,12:00:00,29.0
2020-01-12 15:00:00,23.9,2020-01-12,15:00:00,24.0
2020-01-12 18:00:00,22.28,2020-01-12,18:00:00,22.0
2020-01-12 21:00:00,20.18,2020-01-12,21:00:00,20.0
2020-01-13 00:00:00,18.65,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,19.93,2020-01-13,03:00:00,20.0
2020-01-13 06:00:00,25.87,2020-01-13,06:00:00,26.0
2020-01-13 09:00:00,27.74,2020-01-13,09:00:00,28.0
2020-01-13 12:00:00,22.96,2020-01-13,12:00:00,23.0
2020-01-13 15:00:00,18.29,2020-01-13,15:00:00,18.0
2020-01-13 18:00:00,18.24,2020-01-13,18:00:00,18.0
2020-01-13 21:00:00,18.8,2020-01-13,21:00:00,19.0
2020-01-14 00:00:00,17.56,2020-01-14,00:00:00,18.0
2020-01-14 03:00:00,16.72,2020-01-14,03:00:00,17.0
2020-01-14 06:00:00,21.87,2020-01-14,06:00:00,22.0
2020-01-14 09:00:00,25.05,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,23.86,2020-01-14,12:00:00,24.0
2020-01-14 15:00:00,18.98,2020-01-14,15:00:00,19.0
