date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,12.33,2020-01-09,18:00:00,12.0
2020-01-09 21:00:00,11.21,2020-01-09,21:00:00,11.0
2020-01-10 00:00:00,10.21,2020-01-10,00:00:00,10.0
2020-01-10 03:00:00,12.28,2020-01-10,03:00:00,12.0
2020-01-10 06:00:00,17.62,2020-01-10,06:00:00,18.0
2020-01-10 09:00:00,19.07,2020-01-10,09:00:00,19.0
2020-01-10 12:00:00,14.39,2020-01-10,12:00:00,14.0
2020-01-10 15:00:00,11.89,2020-01-10,15:00:00,12.0
2020-01-10 18:00:00,10.37,2020-01-10,18:00:00,10.0
2020-01-10 21:00:00,9.28,2020-01-10,21:00:00,9.0
2020-01-11 00:00:00,8.14,2020-01-11,00:00:00,8.0
2020-01-11 03:00:00,10.79,2020-01-11,03:00:00,11.0
2020-01-11 06:00:00,17.14,2020-01-11,06:00:00,17.0
2020-01-11 09:00:00,19.2,2020-01-11,09:00:00,19.0
2020-01-11 12:00:00,14.46,2020-01-11,12:00:00,14.0
2020-01-11 15:00:00,12.29,2020-01-11,15:00:00,12.0
2020-01-11 18:00:00,11.17,2020-01-11,18:00:00,11.0
2020-01-11 21:00:00,9.96,2020-01-11,21:00:00,10.0
2020-01-12 00:00:00,8.99,2020-01-12,00:00:00,9.0
2020-01-12 03:00:00,11.78,2020-01-12,03:00:00,12.0
2020-01-12 06:00:00,18.01,2020-01-12,06:00:00,18.0
2020-01-12 09:00:00,20.53,2020-01-12,09:00:00,21.0
2020-01-12 12:00:00,15.4,2020-01-12,12:00:00,15.0
2020-01-12 15:00:00,13.11,2020-01-12,15:00:00,13.0
2020-01-12 18:00:00,11.85,2020-01-12,18:00:00,12.0
2020-01-12 21:00:00,10.57,2020-01-12,21:00:00,11.0
2020-01-13 00:00:00,9.84,2020-01-13,00:00:00,10.0
2020-01-13 03:00:00,13.11,2020-01-13,03:00:00,13.0
2020-01-13 06:00:00,19.58,2020-01-13,06:00:00,20.0
2020-01-13 09:00:00,21.85,2020-01-13,09:00:00,22.0
2020-01-13 12:00:00,16.69,2020-01-13,12:00:00,17.0
2020-01-13 15:00:00,15.03,2020-01-13,15:00:00,15.0
2020-01-13 18:00:00,13.7,2020-01-13,18:00:00,14.0
2020-01-13 21:00:00,12.81,2020-01-13,21:00:00,13.0
2020-01-14 00:00:00,11.95,2020-01-14,00:00:00,12.0
2020-01-14 03:00:00,15.03,2020-01-14,03:00:00,15.0
2020-01-14 06:00:00,21.84,2020-01-14,06:00:00,22.0
2020-01-14 09:00:00,24.34,2020-01-14,09:00:00,24.0
2020-01-14 12:00:00,19.17,2020-01-14,12:00:00,19.0
2020-01-14 15:00:00,16.68,2020-01-14,15:00:00,17.0
