date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,21.53,2020-01-09,18:00:00,22.0
2020-01-09 21:00:00,19.89,2020-01-09,21:00:00,20.0
2020-01-10 00:00:00,18.75,2020-01-10,00:00:00,19.0
2020-01-10 03:00:00,20.64,2020-01-10,03:00:00,21.0
2020-01-10 06:00:00,28.06,2020-01-10,06:00:00,28.0
2020-01-10 09:00:00,31.82,2020-01-10,09:00:00,32.0
2020-01-10 12:00:00,29.81,2020-01-10,12:00:00,30.0
2020-01-10 15:00:00,22.42,2020-01-10,15:00:00,22.0
2020-01-10 18:00:00,21.84,2020-01-10,18:00:00,22.0
2020-01-10 21:00:00,21.23,2020-01-10,21:00:00,21.0
2020-01-11 00:00:00,20.05,2020-01-11,00:00:00,20.0
2020-01-11 03:00:00,22.29,2020-01-11,03:00:00,22.0
2020-01-11 06:00:00,30.19,2020-01-11,06:00:00,30.0
2020-01-11 09:00:00,33.82,2020-01-11,09:00:00,34.0
2020-01-11 12:00:00,29.39,2020-01-11,12:00:00,29.0
2020-01-11 15:00:00,23.43,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,22.49,2020-01-11,18:00:00,22.0
2020-01-11 21:00:00,21.54,2020-01-11,21:00:00,22.0
2020-01-12 00:00:00,20.66,2020-01-12,00:00:00,21.0
2020-01-12 03:00:00,22.95,2020-01-12,03:00:00,23.0
2020-01-12 06:00:00,31.1,2020-01-12,06:00:00,31.0
2020-01-12 09:00:00,33.35,2020-01-12,09:00:00,33.0
2020-01-12 12:00:00,27.44,2020-01-12,12:00:00,27.0
2020-01-12 15:00:00,22.66,2020-01-12,15:00:00,23.0
2020-01-12 18:00:00,21.73,2020-01-12,18:00:00,22.0
2020-01-12 21:00:00,20.58,2020-01-12,21:00:00,21.0
2020-01-13 00:00:00,19.75,2020-01-13,00:00:00,20.0
2020-01-13 03:00:00,21.86,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,27.93,2020-01-13,06:00:00,28.0
2020-01-13 09:00:00,30.26,2020-01-13,09:00:00,30.0
2020-01-13 12:00:00,25.36,2020-01-13,12:00:00,25.0
2020-01-13 15:00:00,21.94,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,20.51,2020-01-13,18:00:00,21.0
2020-01-13 21:00:00,19.34,2020-01-13,21:00:00,19.0
2020-01-14 00:00:00,18.1,2020-01-14,00:00:00,18.0
2020-01-14 03:00:00,19.31,2020-01-14,03:00:00,19.0
2020-01-14 06:00:00,25.17,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,28.09,2020-01-14,09:00:00,28.0
2020-01-14 12:00:00,25.94,2020-01-14,12:00:00,26.0
2020-01-14 15:00:00,19.81,2020-01-14,15:00:00,20.0
