date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,22.23,2020-01-09,18:00:00,22.0
2020-01-09 21:00:00,21.21,2020-01-09,21:00:00,21.0
2020-01-10 00:00:00,21.97,2020-01-10,00:00:00,22.0
2020-01-10 03:00:00,23.5,2020-01-10,03:00:00,24.0
2020-01-10 06:00:00,27.0,2020-01-10,06:00:00,27.0
2020-01-10 09:00:00,27.6,2020-01-10,09:00:00,28.0
2020-01-10 12:00:00,25.8,2020-01-10,12:00:00,26.0
2020-01-10 15:00:00,21.49,2020-01-10,15:00:00,21.0
2020-01-10 18:00:00,20.33,2020-01-10,18:00:00,20.0
2020-01-10 21:00:00,19.68,2020-01-10,21:00:00,20.0
2020-01-11 00:00:00,19.42,2020-01-11,00:00:00,19.0
2020-01-11 03:00:00,22.66,2020-01-11,03:00:00,23.0
2020-01-11 06:00:00,27.37,2020-01-11,06:00:00,27.0
2020-01-11 09:00:00,29.51,2020-01-11,09:00:00,30.0
2020-01-11 12:00:00,26.63,2020-01-11,12:00:00,27.0
2020-01-11 15:00:00,22.62,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,21.01,2020-01-11,18:00:00,21.0
2020-01-11 21:00:00,20.67,2020-01-11,21:00:00,21.0
2020-01-12 00:00:00,19.83,2020-01-12,00:00:00,20.0
2020-01-12 03:00:00,22.76,2020-01-12,03:00:00,23.0
2020-01-12 06:00:00,27.56,2020-01-12,06:00:00,28.0
2020-01-12 09:00:00,28.95,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,25.82,2020-01-12,12:00:00,26.0
2020-01-12 15:00:00,21.51,2020-01-12,15:00:00,22.0
2020-01-12 18:00:00,19.74,2020-01-12,18:00:00,20.0
2020-01-12 21:00:00,19.31,2020-01-12,21:00:00,19.0
2020-01-13 00:00:00,18.6,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,22.12,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,27.36,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,29.07,2020-01-13,09:00:00,29.0
2020-01-13 12:00:00,25.54,2020-01-13,12:00:00,26.0
2020-01-13 15:00:00,20.24,2020-01-13,15:00:00,20.0
2020-01-13 18:00:00,19.38,2020-01-13,18:00:00,19.0
2020-01-13 21:00:00,18.85,2020-01-13,21:00:00,19.0
2020-01-14 00:00:00,18.4,2020-01-14,00:00:00,18.0
2020-01-14 03:00:00,22.03,2020-01-14,03:00:00,22.0
2020-01-14 06:00:00,26.97,2020-01-14,06:00:00,27.0
2020-01-14 09:00:00,28.97,2020-01-14,09:00:00,29.0
2020-01-14 12:00:00,25.05,2020-01-14,12:00:00,25.0
2020-01-14 15:00:00,20.31,2020-01-14,15:00:00,20.0
