date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,22.47,2020-01-09,18:00:00,22.0
2020-01-09 21:00:00,21.24,2020-01-09,21:00:00,21.0
2020-01-10 00:00:00,21.11,2020-01-10,00:00:00,21.0
2020-01-10 03:00:00,24.06,2020-01-10,03:00:00,24.0
2020-01-10 06:00:00,26.21,2020-01-10,06:00:00,26.0
2020-01-10 09:00:00,26.16,2020-01-10,09:00:00,26.0
2020-01-10 12:00:00,24.36,2020-01-10,12:00:00,24.0
2020-01-10 15:00:00,23.89,2020-01-10,15:00:00,24.0
2020-01-10 18:00:00,22.73,2020-01-10,18:00:00,23.0
2020-01-10 21:00:00,21.92,2020-01-10,21:00:00,22.0
2020-01-11 00:00:00,21.09,2020-01-11,00:00:00,21.0
2020-01-11 03:00:00,23.44,2020-01-11,03:00:00,23.0
2020-01-11 06:00:00,25.84,2020-01-11,06:00:00,26.0
2020-01-11 09:00:00,25.34,2020-01-11,09:00:00,25.0
2020-01-11 12:00:00,23.77,2020-01-11,12:00:00,24.0
2020-01-11 15:00:00,22.83,2020-01-11,15:00:00,23.0
2020-01-11 18:00:00,22.42,2020-01-11,18:00:00,22.0
2020-01-11 21:00:00,21.53,2020-01-11,21:00:00,22.0
2020-01-12 00:00:00,20.23,2020-01-12,00:00:00,20.0
2020-01-12 03:00:00,22.51,2020-01-12,03:00:00,23.0
2020-01-12 06:00:00,25.09,2020-01-12,06:00:00,25.0
2020-01-12 09:00:00,24.78,2020-01-12,09:00:00,25.0
2020-01-12 12:00:00,23.52,2020-01-12,12:00:00,24.0
2020-01-12 15:00:00,22.28,2020-01-12,15:00:00,22.0
2020-01-12 18:00:00,21.08,2020-01-12,18:00:00,21.0
2020-01-12 21:00:00,19.77,2020-01-12,21:00:00,20.0
2020-01-13 00:00:00,19.52,2020-01-13,00:00:00,20.0
2020-01-13 03:00:00,22.06,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,24.76,2020-01-13,06:00:00,25.0
2020-01-13 09:00:00,24.84,2020-01-13,09:00:00,25.0
2020-01-13 12:00:00,23.69,2020-01-13,12:00:00,24.0
2020-01-13 15:00:00,22.46,2020-01-13,15:00:00,22.0
2020-01-13 18:00:00,21.5,2020-01-13,18:00:00,22.0
2020-01-13 21:00:00,20.31,2020-01-13,21:00:00,20.0
2020-01-14 00:00:00,19.96,2020-01-14,00:00:00,20.0
2020-01-14 03:00:00,22.53,2020-01-14,03:00:00,23.0
2020-01-14 06:00:00,25.02,2020-01-14,06:00:00,25.0
2020-01-14 09:00:00,24.95,2020-01-14,09:00:00,25.0
2020-01-14 12:00:00,23.87,2020-01-14,12:00:00,24.0
2020-01-14 15:00:00,22.42,2020-01-14,15:00:00,22.0
